id,files,abbr,name,typeOfIdentifier,expansion,enclosingMethod
Ljava/awt/Point;.y)I,C:/PHDONE/runtime-EclipseApplication/DB-Manager-master/src/org/besus/meice/oramtt/erd/model/Relation.java;C:/PHDONE/runtime-EclipseApplication/DB-Manager-master/src/org/besus/meice/oramtt/erd/model/Attribute.java;C:/PHDONE/runtime-EclipseApplication/DB-Manager-master/src/org/besus/meice/oramtt/dao/PopupHandler.java;C:/PHDONE/runtime-EclipseApplication/DB-Manager-master/src/org/besus/meice/oramtt/erd/model/Entity.java;,y,y,VariableName,y axis,MethodName:getConnectionsOnOppositeSides;MethodName:checkForPopup;MethodName:getConnections;MethodName:drawConnection;MethodName:paint;MethodName:getConnectionPoints;MethodName:paint;MethodName:paint;
Lorg/besus/meice/oramtt/erd/model/Relation;.drawArrow(IIII)V#targetY#0#3,C:/PHDONE/runtime-EclipseApplication/DB-Manager-master/src/org/besus/meice/oramtt/erd/model/Relation.java;,y,targetY,ParameterName,y axis,MethodName:drawArrow;
Lorg/besus/meice/oramtt/erd/model/Relation;.drawArrow(IIII)V#sourceY#0#1,C:/PHDONE/runtime-EclipseApplication/DB-Manager-master/src/org/besus/meice/oramtt/erd/model/Relation.java;,y,sourceY,ParameterName,y axis,MethodName:drawArrow;
Lorg/besus/meice/oramtt/erd/model/Attribute;.getConnectionPoints(Ljava/awt/Point;Ljava/awt/Point;)[I#1#xDistance,C:/PHDONE/runtime-EclipseApplication/DB-Manager-master/src/org/besus/meice/oramtt/erd/model/Attribute.java;,x,xDistance,VariableName,x axis,MethodName:getConnectionPoints;
Lorg/besus/meice/oramtt/erd/model/Relation;.drawArrow(IIII)V#sourceX#0#0,C:/PHDONE/runtime-EclipseApplication/DB-Manager-master/src/org/besus/meice/oramtt/erd/model/Relation.java;,x,sourceX,ParameterName,x axis,MethodName:drawArrow;
Lorg/besus/meice/oramtt/erd/model/Relation;.drawArrow(IIII)V#targetX#0#2,C:/PHDONE/runtime-EclipseApplication/DB-Manager-master/src/org/besus/meice/oramtt/erd/model/Relation.java;,x,targetX,ParameterName,x axis,MethodName:drawArrow;
Lorg/besus/meice/oramtt/erd/model/Attribute;.getConnectionPoints(Ljava/awt/Point;Ljava/awt/Point;)[I#3#xDistance,C:/PHDONE/runtime-EclipseApplication/DB-Manager-master/src/org/besus/meice/oramtt/erd/model/Attribute.java;,x,xDistance,VariableName,x axis,MethodName:getConnectionPoints;
Lorg/besus/meice/oramtt/erd/model/Attribute;.getConnectionPoints(Ljava/awt/Point;Ljava/awt/Point;)[I#2#xDistance,C:/PHDONE/runtime-EclipseApplication/DB-Manager-master/src/org/besus/meice/oramtt/erd/model/Attribute.java;,x,xDistance,VariableName,x axis,MethodName:getConnectionPoints;
Lorg/besus/meice/oramtt/erd/model/Relation;.getConnections(Lorg/besus/meice/oramtt/erd/model/Entity;Ljava/awt/Point;Ljava/awt/Point;)[I#3#xDistance,C:/PHDONE/runtime-EclipseApplication/DB-Manager-master/src/org/besus/meice/oramtt/erd/model/Relation.java;,x,xDistance,VariableName,x axis,MethodName:getConnections;
Lorg/besus/meice/oramtt/erd/model/Attribute;.getConnectionPoints(Ljava/awt/Point;Ljava/awt/Point;)[I#0#xDistance,C:/PHDONE/runtime-EclipseApplication/DB-Manager-master/src/org/besus/meice/oramtt/erd/model/Attribute.java;,x,xDistance,VariableName,x axis,MethodName:getConnectionPoints;
Lorg/besus/meice/oramtt/erd/model/Relation;.getConnections(Lorg/besus/meice/oramtt/erd/model/Entity;Ljava/awt/Point;Ljava/awt/Point;)[I#0#xDistance,C:/PHDONE/runtime-EclipseApplication/DB-Manager-master/src/org/besus/meice/oramtt/erd/model/Relation.java;,x,xDistance,VariableName,x axis,MethodName:getConnections;
Lorg/besus/meice/oramtt/erd/model/Relation;.getConnections(Lorg/besus/meice/oramtt/erd/model/Entity;Ljava/awt/Point;Ljava/awt/Point;)[I#2#xDistance,C:/PHDONE/runtime-EclipseApplication/DB-Manager-master/src/org/besus/meice/oramtt/erd/model/Relation.java;,x,xDistance,VariableName,x axis,MethodName:getConnections;
Lorg/besus/meice/oramtt/erd/model/Relation;.getConnections(Lorg/besus/meice/oramtt/erd/model/Entity;Ljava/awt/Point;Ljava/awt/Point;)[I#1#xDistance,C:/PHDONE/runtime-EclipseApplication/DB-Manager-master/src/org/besus/meice/oramtt/erd/model/Relation.java;,x,xDistance,VariableName,x axis,MethodName:getConnections;
Ljava/awt/Point;.x)I,C:/PHDONE/runtime-EclipseApplication/DB-Manager-master/src/org/besus/meice/oramtt/erd/model/Relation.java;C:/PHDONE/runtime-EclipseApplication/DB-Manager-master/src/org/besus/meice/oramtt/erd/model/Attribute.java;C:/PHDONE/runtime-EclipseApplication/DB-Manager-master/src/org/besus/meice/oramtt/dao/PopupHandler.java;C:/PHDONE/runtime-EclipseApplication/DB-Manager-master/src/org/besus/meice/oramtt/erd/model/Entity.java;,x,x,VariableName,x axis,MethodName:getConnectionsOnOppositeSides;MethodName:checkForPopup;MethodName:getConnections;MethodName:drawConnection;MethodName:paint;MethodName:getConnectionPoints;MethodName:paint;MethodName:paint;
Lorg/besus/meice/oramtt/ui/RelationDialog;.serialVersionUID)J,C:/PHDONE/runtime-EclipseApplication/DB-Manager-master/src/org/besus/meice/oramtt/ui/RelationDialog.java;,uid,serialVersionUID,FieldName,user interface,
Lorg/besus/meice/oramtt/ui/DatabaseFrame$8878;.serialVersionUID)J,C:/PHDONE/runtime-EclipseApplication/DB-Manager-master/src/org/besus/meice/oramtt/ui/DatabaseFrame.java;,uid,serialVersionUID,VariableName,user interface,
Lorg/besus/meice/oramtt/ui/ConstraintDailog;.serialVersionUID)J,C:/PHDONE/runtime-EclipseApplication/DB-Manager-master/src/org/besus/meice/oramtt/ui/ConstraintDailog.java;,uid,serialVersionUID,FieldName,user interface,
Lorg/besus/meice/oramtt/ui/AttributeDialog;.serialVersionUID)J,C:/PHDONE/runtime-EclipseApplication/DB-Manager-master/src/org/besus/meice/oramtt/ui/AttributeDialog.java;,uid,serialVersionUID,FieldName,user interface,
Lorg/besus/meice/oramtt/ui/DatabaseFrame;.serialVersionUID)J,C:/PHDONE/runtime-EclipseApplication/DB-Manager-master/src/org/besus/meice/oramtt/ui/DatabaseFrame.java;,uid,serialVersionUID,FieldName,user interface,
Lorg/besus/meice/oramtt/ui/EntityDialog;.serialVersionUID)J,C:/PHDONE/runtime-EclipseApplication/DB-Manager-master/src/org/besus/meice/oramtt/ui/EntityDialog.java;,uid,serialVersionUID,FieldName,user interface,
Lorg/besus/meice/oramtt/util/ConnectionManager;.uid)Ljava/lang/String;,C:/PHDONE/runtime-EclipseApplication/DB-Manager-master/src/org/besus/meice/oramtt/util/ConnectionManager.java;,uid,uid,FieldName,unique identifier,
Lorg/besus/meice/oramtt/ui/ERDCanvas;.serialVersionUID)J,C:/PHDONE/runtime-EclipseApplication/DB-Manager-master/src/org/besus/meice/oramtt/ui/ERDCanvas.java;,uid,serialVersionUID,FieldName,user interface,
Lorg/besus/meice/oramtt/ui/ERDFrame;.serialVersionUID)J,C:/PHDONE/runtime-EclipseApplication/DB-Manager-master/src/org/besus/meice/oramtt/ui/ERDFrame.java;,uid,serialVersionUID,FieldName,user interface,
Lorg/besus/meice/oramtt/dao/TableCellListener;.processEditingStopped()V#0#tcl,C:/PHDONE/runtime-EclipseApplication/DB-Manager-master/src/org/besus/meice/oramtt/dao/TableCellListener.java;,tcl,tcl,VariableName,table cell listener,MethodName:processEditingStopped;
Lorg/besus/meice/oramtt/ui/DatabaseFrame;.retrieveTableDetails()V#0#tcl,C:/PHDONE/runtime-EclipseApplication/DB-Manager-master/src/org/besus/meice/oramtt/ui/DatabaseFrame.java;,tcl,tcl,VariableName,table cell listener,MethodName:retrieveTableDetails;
Lorg/besus/meice/oramtt/ui/DatabaseFrame$8878;.actionPerformed(Ljava/awt/event/ActionEvent;)V#tcl,C:/PHDONE/runtime-EclipseApplication/DB-Manager-master/src/org/besus/meice/oramtt/ui/DatabaseFrame.java;,tcl,tcl,VariableName,table cell listener,MethodName:actionPerformed;
Lorg/besus/meice/oramtt/ui/DatabaseFrame;.initializeTree()V#0#0#tbNodeInd,C:/PHDONE/runtime-EclipseApplication/DB-Manager-master/src/org/besus/meice/oramtt/ui/DatabaseFrame.java;,tb,tbNodeInd,VariableName,mutable,MethodName:initializeTree;
Lorg/besus/meice/oramtt/ui/DatabaseFrame;.initializeTree()V#0#0#0#0#tbNodeColDetails,C:/PHDONE/runtime-EclipseApplication/DB-Manager-master/src/org/besus/meice/oramtt/ui/DatabaseFrame.java;,tb,tbNodeColDetails,VariableName,mutable,MethodName:initializeTree;
Lorg/besus/meice/oramtt/ui/DatabaseFrame;.initializeTree()V#0#0#tbNodeCol,C:/PHDONE/runtime-EclipseApplication/DB-Manager-master/src/org/besus/meice/oramtt/ui/DatabaseFrame.java;,tb,tbNodeCol,VariableName,mutable,MethodName:initializeTree;
Lorg/besus/meice/oramtt/ui/ConstraintDailog;.tbLabel)Ljavax/swing/JLabel;,C:/PHDONE/runtime-EclipseApplication/DB-Manager-master/src/org/besus/meice/oramtt/ui/ConstraintDailog.java;,tb,tbLabel,FieldName,table,
Lorg/besus/meice/oramtt/ui/DatabaseFrame;.initializeTree()V#0#0#1#0#tbNodeIndexDetails,C:/PHDONE/runtime-EclipseApplication/DB-Manager-master/src/org/besus/meice/oramtt/ui/DatabaseFrame.java;,tb,tbNodeIndexDetails,VariableName,mutable,MethodName:initializeTree;
Lorg/besus/meice/oramtt/dao/TableDetails;.retriveForiegnKeyDetails(Ljava/lang/String;)V#0#0#rs,C:/PHDONE/runtime-EclipseApplication/DB-Manager-master/src/org/besus/meice/oramtt/dao/TableDetails.java;,rs,rs,VariableName,result set,MethodName:retriveForiegnKeyDetails;
Lorg/besus/meice/oramtt/dao/TableDetails;.retriveConstraints(Ljava/lang/String;)Ljava/util/List<Ljava/lang/String;>;#0#0#rs,C:/PHDONE/runtime-EclipseApplication/DB-Manager-master/src/org/besus/meice/oramtt/dao/TableDetails.java;,rs,rs,VariableName,result set,MethodName:retriveConstraints;
Lorg/besus/meice/oramtt/dao/TableDetails;.deleteRow(Ljava/util/Map<Ljava/lang/String;Ljava/lang/Object;>;Ljava/lang/String;)V#0#0#rs,C:/PHDONE/runtime-EclipseApplication/DB-Manager-master/src/org/besus/meice/oramtt/dao/TableDetails.java;,rs,rs,VariableName,result set,MethodName:deleteRow;
Lorg/besus/meice/oramtt/dao/TableDetails;.UpdateCell(Ljava/util/Map<Ljava/lang/String;Ljava/lang/Object;>;Ljava/lang/String;Ljava/lang/Object;Ljava/lang/Object;Ljava/lang/String;)I#0#0#rs,C:/PHDONE/runtime-EclipseApplication/DB-Manager-master/src/org/besus/meice/oramtt/dao/TableDetails.java;,rs,rs,VariableName,result set,MethodName:UpdateCell;
Lorg/besus/meice/oramtt/dao/TableDetails;.getTableData(Ljava/lang/String;Ljava/util/List<Ljava/lang/String;>;)[[Ljava/lang/Object;#0#0#rs,C:/PHDONE/runtime-EclipseApplication/DB-Manager-master/src/org/besus/meice/oramtt/dao/TableDetails.java;,rs,rs,VariableName,result set,MethodName:getTableData;
Lorg/besus/meice/oramtt/dao/TableDetails;.getTableNames()Ljava/util/List<Ljava/lang/String;>;#0#0#rs,C:/PHDONE/runtime-EclipseApplication/DB-Manager-master/src/org/besus/meice/oramtt/dao/TableDetails.java;,rs,rs,VariableName,result set,MethodName:getTableNames;
Lorg/besus/meice/oramtt/dao/TableDetails;.retriveColumnDetails(Ljava/lang/String;)Ljava/util/List<Ljava/lang/String;>;#0#0#rs,C:/PHDONE/runtime-EclipseApplication/DB-Manager-master/src/org/besus/meice/oramtt/dao/TableDetails.java;,rs,rs,VariableName,result set,MethodName:retriveColumnDetails;
Lorg/besus/meice/oramtt/ui/ConstraintDailog;.getForeignKeyRefDesc()Ljava/lang/String;,C:/PHDONE/runtime-EclipseApplication/DB-Manager-master/src/org/besus/meice/oramtt/ui/ConstraintDailog.java;,ref,getForeignKeyRefDesc,MethodName,reference,
Lorg/besus/meice/oramtt/ui/ConstraintDailog;.setForeignKeyRefDesc(Ljava/lang/String;)V,C:/PHDONE/runtime-EclipseApplication/DB-Manager-master/src/org/besus/meice/oramtt/dao/TableDetails.java;C:/PHDONE/runtime-EclipseApplication/DB-Manager-master/src/org/besus/meice/oramtt/ui/ConstraintDailog.java;,ref,setForeignKeyRefDesc,MethodName,reference,
Lorg/besus/meice/oramtt/ui/ConstraintDailog;.setForeignKeyRefDesc(Ljava/lang/String;)V#foreignKeyRefDesc#0#0,C:/PHDONE/runtime-EclipseApplication/DB-Manager-master/src/org/besus/meice/oramtt/ui/ConstraintDailog.java;,ref,foreignKeyRefDesc,ParameterName,reference,MethodName:setForeignKeyRefDesc;
Lorg/besus/meice/oramtt/ui/ConstraintDailog;.foreignKeyRefDesc)Ljava/lang/String;,C:/PHDONE/runtime-EclipseApplication/DB-Manager-master/src/org/besus/meice/oramtt/ui/ConstraintDailog.java;,ref,foreignKeyRefDesc,FieldName,reference,
