ID,files,abbr,name,typeOfIdentifier,expansion,enclosingMethod
1,C:/PHDONE/runtime-EclipseApplication/portecle-master/src/main/net/sf/portecle/FPortecle.java;,y,getY,MethodName,y axis,
2,C:/PHDONE/runtime-EclipseApplication/portecle-master/src/main/net/sf/portecle/FPortecle.java;,y,getY,MethodName,y axis,
3,C:/PHDONE/runtime-EclipseApplication/portecle-master/src/main/net/sf/portecle/FPortecle.java;,y,iYPos,VariableName,y axis,MethodName:initComponents;
4,C:/PHDONE/runtime-EclipseApplication/portecle-master/src/main/net/sf/portecle/DKeyStoreReport.java;,x,x509CertChain,VariableName,null_1,MethodName:createReportNodes;
5,C:/PHDONE/runtime-EclipseApplication/portecle-master/src/main/net/sf/portecle/DGenerateCertificate.java;C:/PHDONE/runtime-EclipseApplication/portecle-master/src/main/net/sf/portecle/crypto/X509CertUtil.java;C:/PHDONE/runtime-EclipseApplication/portecle-master/src/main/net/sf/portecle/crypto/KeyStoreUtil.java;C:/PHDONE/runtime-EclipseApplication/portecle-master/src/main/net/sf/portecle/DKeyStoreReport.java;C:/PHDONE/runtime-EclipseApplication/portecle-master/src/main/net/sf/portecle/FPortecle.java;C:/PHDONE/runtime-EclipseApplication/portecle-master/src/main/net/sf/portecle/DViewCRL.java;C:/PHDONE/runtime-EclipseApplication/portecle-master/src/main/net/sf/portecle/DImportKeyPair.java;C:/PHDONE/runtime-EclipseApplication/portecle-master/src/main/net/sf/portecle/DViewCertificate.java;,x,X509CertUtil,ClassName,null_2,
6,C:/PHDONE/runtime-EclipseApplication/portecle-master/src/main/net/sf/portecle/DKeyStoreReport.java;,x,x509Cert,VariableName,null_3,MethodName:generateDocument;
7,C:/PHDONE/runtime-EclipseApplication/portecle-master/src/main/net/sf/portecle/FileChooserFactory.java;,x,X509_FILE_DESC,FieldName,null_4,
8,C:/PHDONE/runtime-EclipseApplication/portecle-master/src/main/net/sf/portecle/crypto/X509CertUtil.java;,x,generateX509SerialNumber,MethodName,null,
9,C:/PHDONE/runtime-EclipseApplication/portecle-master/src/main/net/sf/portecle/FPortecle.java;,x,iXPos,VariableName,x axis,MethodName:initComponents;
10,C:/PHDONE/runtime-EclipseApplication/portecle-master/src/main/net/sf/portecle/FPortecle.java;,x,getX,MethodName,x axis,
11,C:/PHDONE/runtime-EclipseApplication/portecle-master/src/main/net/sf/portecle/FPortecle.java;,x,getX,MethodName,x axis,
12,C:/PHDONE/runtime-EclipseApplication/portecle-master/src/main/net/sf/portecle/crypto/X509Ext.java;,x,x400Address,VariableName,null-1,MethodName:getGeneralNameString;
13,C:/PHDONE/runtime-EclipseApplication/portecle-master/src/main/net/sf/portecle/crypto/X509CertUtil.java;C:/PHDONE/runtime-EclipseApplication/portecle-master/src/main/net/sf/portecle/crypto/NameUtil.java;,x,X500Principal,ClassName,null,
14,C:/PHDONE/runtime-EclipseApplication/portecle-master/src/main/net/sf/portecle/gui/about/DSystemProperties.java;,w,w,VariableName,width,MethodName:initComponents;
15,C:/PHDONE/runtime-EclipseApplication/portecle-master/src/main/net/sf/portecle/gui/about/DSystemProperties.java;,w,w,VariableName,width,MethodName:initComponents;
16,C:/PHDONE/runtime-EclipseApplication/portecle-master/src/main/net/sf/portecle/crypto/X509Ext.java;,ver,bVer,VariableName,version,MethodName:getNovellSecurityAttributesStringValue;
17,C:/PHDONE/runtime-EclipseApplication/portecle-master/src/main/net/sf/portecle/FPortecle.java;,ver,bcVer,VariableName,version,MethodName:main;
18,C:/PHDONE/runtime-EclipseApplication/portecle-master/src/main/net/sf/portecle/crypto/X509Ext.java;,ver,ver,VariableName,version,MethodName:getMicrosoftCAVersionStringValue;
19,C:/PHDONE/runtime-EclipseApplication/portecle-master/src/main/net/sf/portecle/crypto/X509Ext.java;,val,val,VariableName,value,MethodName:getNetscapeCertificateTypeStringValue;
20,C:/PHDONE/runtime-EclipseApplication/portecle-master/src/main/net/sf/portecle/crypto/X509Ext.java;,val,val,VariableName,value,MethodName:getKeyUsageStringValue;
21,C:/PHDONE/runtime-EclipseApplication/portecle-master/src/main/net/sf/portecle/crypto/X509Ext.java;,val,sVal,VariableName,value,MethodName:getGeneralNameString;
22,C:/PHDONE/runtime-EclipseApplication/portecle-master/src/main/net/sf/portecle/crypto/X509Ext.java;,v,microsoftCertTemplateV1,VariableName,null_1,MethodName:getStringValue;
23,C:/PHDONE/runtime-EclipseApplication/portecle-master/src/main/net/sf/portecle/crypto/X509CertUtil.java;,v,vCompCerts,ParameterName,null_2,MethodName:establishTrust;
24,C:/PHDONE/runtime-EclipseApplication/portecle-master/src/main/net/sf/portecle/DNewKeyStoreType.java;,v,m_jrbBksV1KeyStore,FieldName,version,
25,C:/PHDONE/runtime-EclipseApplication/portecle-master/src/main/net/sf/portecle/DImportKeyPair.java;,v,vKeyPairAliases,VariableName,vector,MethodName:populateList;
26,C:/PHDONE/runtime-EclipseApplication/portecle-master/src/main/net/sf/portecle/crypto/X509CertUtil.java;,v,X509v3CertificateBuilder,ClassName,null_4,
