id,files,typeOfIdentifier,subclass,subsubclass,parents,ancestor,methods,fields,comment,type,enclosingClass,assignment,methodInvocated,parameterArgument,parameter,enclosingMethod,argument,name,abbr,expansion
Lcom/puppycrawl/tools/checkstyle/checks/metrics/ClassFanOutComplexityCheckTest;.testWithMultiDimensionalArray()V|Ljava/lang/Exception;,C:/PHDONE/runtime-EclipseApplication/checkstyle-master/src/test/java/com/puppycrawl/tools/checkstyle/checks/metrics/ClassFanOutComplexityCheckTest.java;,MethodName,,,,,,,,ClassName:void;,ClassName:ClassFanOutComplexityCheckTest;,,,,,,,testWithMultiDimensionalArray,multi,multiple
Lcom/puppycrawl/tools/checkstyle/internal/XdocsJavaDocsTest$JavaDocCapture;.isSetterMethod(Lcom/puppycrawl/tools/checkstyle/api/DetailAST;)Z#0#singleParam,C:/PHDONE/runtime-EclipseApplication/checkstyle-master/src/test/java/com/puppycrawl/tools/checkstyle/internal/XdocsJavaDocsTest.java;,VariableName,,,,,,,,ClassName:boolean;,ClassName:XdocsJavaDocsTest;ClassName:JavaDocCapture;,VariableName:PARAMETER_DEF;VariableName:params;MethodName:getChildCount;ClassName:TokenTypes;,,,,MethodName:isSetterMethod;,,singleParam,param,parameter
Lcom/puppycrawl/tools/checkstyle/filters/SuppressionsLoaderTest;.testMultipleSuppression()V|Ljava/lang/Exception;#se0,C:/PHDONE/runtime-EclipseApplication/checkstyle-master/src/test/java/com/puppycrawl/tools/checkstyle/filters/SuppressionsLoaderTest.java;,VariableName,,,,,,,,ClassName:SuppressElement;,ClassName:SuppressionsLoaderTest;,ClassName:SuppressElement;,,,,MethodName:testMultipleSuppression;,,se0,se,suppress element
Lcom/puppycrawl/tools/checkstyle/TreeWalkerTest;.testBehaviourWithChecksAndFilters()V|Ljava/lang/Exception;#filterConfig,C:/PHDONE/runtime-EclipseApplication/checkstyle-master/src/test/java/com/puppycrawl/tools/checkstyle/TreeWalkerTest.java;,VariableName,,,,,,,,ClassName:DefaultConfiguration;,ClassName:TreeWalkerTest;,ClassName:SuppressionCommentFilter;MethodName:createModuleConfig;,,,,MethodName:testBehaviourWithChecksAndFilters;,,filterConfig,config,configuration
Lcom/puppycrawl/tools/checkstyle/XMLLoggerTest;,C:/PHDONE/runtime-EclipseApplication/checkstyle-master/src/test/java/com/puppycrawl/tools/checkstyle/XMLLoggerTest.java;,ClassName,,,ClassName:AbstractXmlTestSupport;,ClassName:AbstractModuleTestSupport;ClassName:AbstractPathTestSupport;,MethodName:testNoCloseStream;MethodName:testAddExceptionBeforeFileFinished;MethodName:getPackageLocation;MethodName:testFileFinished;MethodName:testFileStarted;MethodName:testAddError;MethodName:testAddErrorWithNullFileName;MethodName:testAddExceptionAfterFileStarted;MethodName:testAddErrorOnZeroColumns;MethodName:testIsReference;MethodName:testAddIgnored;MethodName:testAuditFinishedWithoutFileFinished;MethodName:testAddExceptionBetweenFileStartedAndFinished;MethodName:testNullOutputStreamOptions;MethodName:testAddExceptionWithNullFileName;MethodName:testCloseStream;MethodName:testAddErrorModuleId;MethodName:testAddException;MethodName:testFinishLocalSetup;MethodName:testEncode;,FieldName:outStream;,Enter a description of class XMLLoggerTest java cs AbbreviationAsWordInName Test should be named as its main class;,,,,,,,,,XMLLoggerTest,xml,extensible markup language
Lcom/puppycrawl/tools/checkstyle/filters/SuppressWithPlainTextCommentFilterTest;.testSuppressByModuleIdWithNullModuleId()V|Ljava/lang/Exception;#filterCfg,C:/PHDONE/runtime-EclipseApplication/checkstyle-master/src/test/java/com/puppycrawl/tools/checkstyle/filters/SuppressWithPlainTextCommentFilterTest.java;,VariableName,,,,,,,,ClassName:DefaultConfiguration;,ClassName:SuppressWithPlainTextCommentFilterTest;,ClassName:SuppressWithPlainTextCommentFilter;MethodName:createModuleConfig;,,,,MethodName:testSuppressByModuleIdWithNullModuleId;,,filterCfg,cfg,configuration
Lcom/puppycrawl/tools/checkstyle/checks/javadoc/AbstractJavadocCheckTest;.testWithMultipleChecks()V|Ljava/lang/Exception;#checksConfig,C:/PHDONE/runtime-EclipseApplication/checkstyle-master/src/test/java/com/puppycrawl/tools/checkstyle/checks/javadoc/AbstractJavadocCheckTest.java;,VariableName,,,,,,,,ClassName:DefaultConfiguration;,ClassName:AbstractJavadocCheckTest;,ClassName:TreeWalker;MethodName:createModuleConfig;VariableName:checkerConfig;,MethodName:createRootConfig;,ParameterName:config;,,MethodName:testWithMultipleChecks;,,checksConfig,config,configuration
Lcom/puppycrawl/tools/checkstyle/DefaultLoggerTest;.testFinishLocalSetup()V#dl,C:/PHDONE/runtime-EclipseApplication/checkstyle-master/src/test/java/com/puppycrawl/tools/checkstyle/DefaultLoggerTest.java;,VariableName,,,,,,,,ClassName:DefaultLogger;,ClassName:DefaultLoggerTest;,ClassName:DefaultLogger;ClassName:OutputStreamOptions;VariableName:CLOSE;VariableName:infoStream;ClassName:AutomaticBean;,,,,MethodName:testFinishLocalSetup;,,dl,dl,default logger
Lcom/puppycrawl/tools/checkstyle/filters/SuppressionCommentFilterTest;.removeSuppressed([Ljava/lang/String;[Ljava/lang/String;)[Ljava/lang/String;#coll,C:/PHDONE/runtime-EclipseApplication/checkstyle-master/src/test/java/com/puppycrawl/tools/checkstyle/filters/SuppressionCommentFilterTest.java;,VariableName,,,,,,,,ClassName:Collection<String>;,ClassName:SuppressionCommentFilterTest;,MethodName:collect;ClassName:Collectors;ClassName:Arrays;ParameterName:from;MethodName:toList;MethodName:stream;,,,,MethodName:removeSuppressed;,,coll,coll,collection
Lcom/puppycrawl/tools/checkstyle/api/AutomaticBeanTest$TestBean;.setVal(I)V#val#0#0,C:/PHDONE/runtime-EclipseApplication/checkstyle-master/src/test/java/com/puppycrawl/tools/checkstyle/api/AutomaticBeanTest.java;,ParameterName,,,,,,,,ClassName:int;,,FieldName:val;,,,,MethodName:setVal;,,val,val,value
