id,files,typeOfIdentifier,subclass,subsubclass,parents,ancestor,methods,fields,comment,type,enclosingClass,assignment,methodInvocated,parameterArgument,parameter,enclosingMethod,argument,name,abbr,expansion
Lorg/besus/meice/oramtt/erd/model/Attribute;.getConnectionPoints(Ljava/awt/Point;Ljava/awt/Point;)[I#p2#0#1,C:/PHDONE/runtime-EclipseApplication/DB-Manager-master/src/org/besus/meice/oramtt/erd/model/Attribute.java;,ParameterName,,,,,,,,ClassName:Point;,,VariableName:xDistance;VariableName:xDistance;VariableName:angle;VariableName:xDistance;VariableName:xDistance;,,,,MethodName:getConnectionPoints;,VariableName:centrePointOfAttribute;,p2,p,point
Lorg/besus/meice/oramtt/ui/ConstraintDailog;.getForeignKeyRefDesc()Ljava/lang/String;,C:/PHDONE/runtime-EclipseApplication/DB-Manager-master/src/org/besus/meice/oramtt/ui/ConstraintDailog.java;,MethodName,,,,,,,,ClassName:String;,ClassName:ConstraintDailog;,,,,,,,getForeignKeyRefDesc,ref,reference
Lorg/besus/meice/oramtt/ui/AttributeDialog;.lblEntity)Ljavax/swing/JLabel;,C:/PHDONE/runtime-EclipseApplication/DB-Manager-master/src/org/besus/meice/oramtt/ui/AttributeDialog.java;,FieldName,,,,,,,,ClassName:JLabel;,ClassName:AttributeDialog;,ClassName:JLabel;,,,,,,lblEntity,lbl,label
Lorg/besus/meice/oramtt/ui/EntityDialog;.(Lorg/besus/meice/oramtt/erd/model/Entity;Lorg/besus/meice/oramtt/erd/model/ERDiagram;)V#0#lblEntityName,C:/PHDONE/runtime-EclipseApplication/DB-Manager-master/src/org/besus/meice/oramtt/ui/EntityDialog.java;,VariableName,,,,,,,,ClassName:JLabel;,ClassName:EntityDialog;,ClassName:JLabel;,,,,MethodName:EntityDialog;,,lblEntityName,lbl,label
Lorg/besus/meice/oramtt/ui/DatabaseFrame;.initializeTree()V#0#0#0#col,C:/PHDONE/runtime-EclipseApplication/DB-Manager-master/src/org/besus/meice/oramtt/ui/DatabaseFrame.java;,VariableName,,,,,,,,ClassName:String;,ClassName:DatabaseFrame;,VariableName:tbNodeColDetails;,,,,MethodName:initializeTree;,,col,col,column
Lorg/besus/meice/oramtt/ui/ERDCanvas;.paint(Ljava/awt/Graphics;)V#0#0#definingLoc1,C:/PHDONE/runtime-EclipseApplication/DB-Manager-master/src/org/besus/meice/oramtt/ui/ERDCanvas.java;,VariableName,,,,,,,,ClassName:Point;,ClassName:ERDCanvas;,MethodName:getStartingPoint;VariableName:model;,MethodName:paint;,ParameterName:definingLoc1;,,MethodName:paint;,,definingLoc1,loc,location
Lorg/besus/meice/oramtt/ui/AttributeDialog;.lblAttributeType)Ljavax/swing/JLabel;,C:/PHDONE/runtime-EclipseApplication/DB-Manager-master/src/org/besus/meice/oramtt/ui/AttributeDialog.java;,FieldName,,,,,,,,ClassName:JLabel;,ClassName:AttributeDialog;,ClassName:JLabel;,,,,,,lblAttributeType,lbl,label
Lorg/besus/meice/oramtt/dao/PopupHandler$1208;.mouseClicked(Ljava/awt/event/MouseEvent;)V#e#0#0,C:/PHDONE/runtime-EclipseApplication/DB-Manager-master/src/org/besus/meice/oramtt/dao/PopupHandler.java;,ParameterName,,,,,,,,ClassName:MouseEvent;,,FieldName:ma;,MethodName:checkForPopup;,ParameterName:e;,,MethodName:mouseClicked;,,e,e,event
Lorg/besus/meice/oramtt/ui/EntityDialog$1934;.actionPerformed(Ljava/awt/event/ActionEvent;)V#arg0#0#0,C:/PHDONE/runtime-EclipseApplication/DB-Manager-master/src/org/besus/meice/oramtt/ui/EntityDialog.java;,ParameterName,,,,,,,,ClassName:ActionEvent;,,,,,,MethodName:actionPerformed;,,arg0,arg,argument
Lorg/besus/meice/oramtt/ui/RelationDialog;.cmbFromEntity)Ljavax/swing/JComboBox<>;,C:/PHDONE/runtime-EclipseApplication/DB-Manager-master/src/org/besus/meice/oramtt/ui/RelationDialog.java;,FieldName,,,,,,,,ClassName:JComboBox;,ClassName:RelationDialog;,VariableName:fromEntity;ClassName:JComboBox;,,,,,,cmbFromEntity,cmb,combo
