id,files,typeOfIdentifier,subclass,subsubclass,parents,ancestor,methods,fields,comment,type,enclosingClass,assignment,methodInvocated,parameterArgument,parameter,enclosingMethod,argument,name,abbr,expansion
Lnet/filebot/ui/rename/RenameList$3140;.mouseDragged(Ljava/awt/event/MouseEvent;)V#m#0#0,C:/PHDONE/runtime-EclipseApplication/filebot-master/source/net/filebot/ui/rename/RenameList.java;,ParameterName,,,,,,,,ClassName:MouseEvent;,,FieldName:dndReorderMouseAdapter;,,,,MethodName:mouseDragged;,,m,m,mouse
Lnet/filebot/similarity/EpisodeMetrics$5168;.getSimilarity(Ljava/lang/Object;Ljava/lang/Object;)F#f2,C:/PHDONE/runtime-EclipseApplication/filebot-master/source/net/filebot/similarity/EpisodeMetrics.java;,VariableName,,,,,,,sqrt x from to;,ClassName:String[];,,VariableName:f;MethodName:normalize;VariableName:sum;VariableName:multiplier;MethodName:fields;ParameterName:o2;,,,,MethodName:getSimilarity;,,f2,f,fields
Ljava/net/URI;.toURL()Ljava/net/URL;|Ljava/net/MalformedURLException;,C:/PHDONE/runtime-EclipseApplication/filebot-master/test/net/filebot/web/AnidbClientTest.java;C:/PHDONE/runtime-EclipseApplication/filebot-master/source/net/filebot/cli/ScriptSource.java;,MethodName,,,,,,,NOTE GitHub only supports If None Match If Modified Since is ignored;,ClassName:URL;,,VariableName:bundle;,,,,,,toURL,url,uniform resource locator
Lnet/filebot/similarity/DateMatcher$DateFormatPattern;.match(Ljava/lang/CharSequence;)Lnet/filebot/web/SimpleDate;#seq#0#0,C:/PHDONE/runtime-EclipseApplication/filebot-master/source/net/filebot/similarity/DateMatcher.java;,ParameterName,,,,,,,,ClassName:CharSequence;,,VariableName:matcher;,,,,MethodName:match;,,seq,seq,sequence
Lnet/filebot/ui/filter/FileTree$ExpandCollapsePopupListener;.mousePressed(Ljava/awt/event/MouseEvent;)V#e#0#0,C:/PHDONE/runtime-EclipseApplication/filebot-master/source/net/filebot/ui/filter/FileTree.java;,ParameterName,,,,,,,,ClassName:MouseEvent;,,,MethodName:maybeShowPopup;,ParameterName:e;,,MethodName:mousePressed;,,e,e,event
Lnet/filebot/ui/list/ListPanel;.setFormat(Lnet/filebot/format/ExpressionFormat;)V#0#itr,C:/PHDONE/runtime-EclipseApplication/filebot-master/source/net/filebot/ui/list/ListPanel.java;,VariableName,,,,,,,update items;,ClassName:ListIterator<ListItem>;,ClassName:ListPanel;,FieldName:list;MethodName:getModel;,,,,MethodName:setFormat;,,itr,itr,iterator
Lnet/filebot/ui/SelectButtonTextField$CompletionCellRenderer;.getListCellRendererComponent(Ljavax/swing/JList;Ljava/lang/Object;IZZ)Ljava/awt/Component;#htmlText,C:/PHDONE/runtime-EclipseApplication/filebot-master/source/net/filebot/ui/SelectButtonTextField.java;,VariableName,,,,,,,use no break because we really don t want line wrapping in our table cells;,ClassName:StringBuffer;,ClassName:SelectButtonTextField;ClassName:CompletionCellRenderer;,ClassName:StringBuffer;,,,,MethodName:getListCellRendererComponent;,,htmlText,html,hyper text markup language
Lnet/filebot/similarity/CommonSequenceMatcher;.(Ljava/text/Collator;IZ)V#commonSequenceMaxStartIndex#0#1,C:/PHDONE/runtime-EclipseApplication/filebot-master/source/net/filebot/similarity/CommonSequenceMatcher.java;,ParameterName,,,,,,,,ClassName:int;,,FieldName:commonSequenceMaxStartIndex;,,,,MethodName:CommonSequenceMatcher;,,commonSequenceMaxStartIndex,max,maximum
Lnet/filebot/ui/subtitle/SubtitleDropTarget;.paintComponent(Ljava/awt/Graphics;)V#w,C:/PHDONE/runtime-EclipseApplication/filebot-master/source/net/filebot/ui/subtitle/SubtitleDropTarget.java;,VariableName,,,,,,,,ClassName:float;,ClassName:SubtitleDropTarget;,VariableName:shape;VariableName:d;MethodName:getWidth;,,,,MethodName:paintComponent;,,w,w,width
Lnet/filebot/torrent/BDecoder;.getNumberFromStream(Ljava/io/InputStream;C)J|Ljava/io/IOException;#str_value,C:/PHDONE/runtime-EclipseApplication/filebot-master/source/net/filebot/torrent/BDecoder.java;,VariableName,,,,,,,,ClassName:String;,ClassName:BDecoder;,ClassName:String;MethodName:limit;MethodName:array;VariableName:cb;,,,,MethodName:getNumberFromStream;,,str_value,str,string
