id,files,typeOfIdentifier,subclass,subsubclass,parents,ancestor,methods,fields,comment,type,enclosingClass,assignment,methodInvocated,parameterArgument,parameter,enclosingMethod,argument,name,abbr,expansion
Ledu/umd/cs/findbugs/AddMessages;.execute()V#0#annElementIter,C:/PHDONExia/icseCode/findbugs-3.0.0/src/edu/umd/cs/findbugs/AddMessages.java;,VariableName,,,,,,,elements for all bug annotations;,ClassName:Iterator<>;,ClassName:AddMessages;,VariableName:element;VariableName:annElement;,,,,MethodName:execute;,,annElementIter,ann,annotations
Ledu/umd/cs/findbugs/AddMessages;.execute()V#0#annIter,C:/PHDONExia/icseCode/findbugs-3.0.0/src/edu/umd/cs/findbugs/AddMessages.java;,VariableName,,,,,,,,ClassName:Iterator<BugAnnotation>;,ClassName:AddMessages;,VariableName:ann;VariableName:bugInstance;MethodName:annotationIterator;,,,,MethodName:execute;,,annIter,ann,annotation
Ledu/umd/cs/findbugs/AnalysisError;.(Ljava/lang/String;Ljava/lang/Throwable;)V#0#initCause,C:/PHDONExia/icseCode/findbugs-3.0.0/src/edu/umd/cs/findbugs/AnalysisError.java;,VariableName,,,,,,,,ClassName:Throwable;,ClassName:AnalysisError;,FieldName:nestedStackTrace;MethodName:getCause;ParameterName:exception;FieldName:nestedExceptionMessage;,MethodName:getStackTraceAsStringArray;,ParameterName:exception;,,MethodName:AnalysisError;,,initCause,init,initialize
Ledu/umd/cs/findbugs/AnalysisError;.getStackTraceAsStringArray(Ljava/lang/Throwable;)[Ljava/lang/String;#arr,C:/PHDONExia/icseCode/findbugs-3.0.0/src/edu/umd/cs/findbugs/AnalysisError.java;,VariableName,,,,,,,,ClassName:ArrayList<String>;,ClassName:AnalysisError;,ClassName:String;ClassName:ArrayList<String>;VariableName:tmp;,,,,MethodName:getStackTraceAsStringArray;,,arr,arr,array
Ledu/umd/cs/findbugs/anttask/AbstractFindBugsTask;.jvm)Ljava/lang/String;,C:/PHDONExia/icseCode/findbugs-3.0.0/src/edu/umd/cs/findbugs/anttask/AbstractFindBugsTask.java;,FieldName,,,,,,,,ClassName:String;,ClassName:AbstractFindBugsTask;,ParameterName:jvm;,,,,,,jvm,jvm,java virtual machine
Ledu/umd/cs/findbugs/anttask/FindBugsTask;.setAuxClasspath(LPath;)V#src#0#0,C:/PHDONExia/icseCode/findbugs-3.0.0/src/edu/umd/cs/findbugs/anttask/FindBugsTask.java;,ParameterName,,,,,,,the auxclasspath to use;,ClassName:Path;,,VariableName:elementList;FieldName:auxClasspath;,,,,MethodName:setAuxClasspath;,,src,src,source
Ledu/umd/cs/findbugs/ba/AbstractFrameModelingVisitor;.visitLLOAD(LLLOAD;)V#obj#0#0,C:/PHDONExia/icseCode/findbugs-3.0.0/src/edu/umd/cs/findbugs/ba/AbstractFrameModelingVisitor.java;,ParameterName,,,,,,,,ClassName:LLOAD;,,,,,,MethodName:visitLLOAD;,,obj,obj,object
Ledu/umd/cs/findbugs/ba/bcp/Binding;.getVarName()Ljava/lang/String;,C:/PHDONExia/icseCode/findbugs-3.0.0/src/edu/umd/cs/findbugs/ba/bcp/Binding.java;C:/PHDONExia/icseCode/findbugs-3.0.0/src/edu/umd/cs/findbugs/ba/bcp/BindingSet.java;,MethodName,,,,,,,Get the variable name;,ClassName:String;,ClassName:Binding;,,,,,,,getVarName,var,variable
Ledu/umd/cs/findbugs/ba/bcp/Invoke$RegexpStringMatcher;.(Ljava/lang/String;)V,C:/PHDONExia/icseCode/findbugs-3.0.0/src/edu/umd/cs/findbugs/ba/bcp/Invoke.java;,MethodName,,,,,,,,,ClassName:RegexpStringMatcher;,,,,ParameterName:re;,,,RegexpStringMatcher,regexp,regular expression
Ledu/umd/cs/findbugs/ba/CFGBuilderException;.serialVersionUID)J,C:/PHDONExia/icseCode/findbugs-3.0.0/src/edu/umd/cs/findbugs/ba/CFGBuilderException.java;,FieldName,,,,,,,;,ClassName:long;,ClassName:CFGBuilderException;,,,,,,,serialVersionUID,uid,user identifier
Ledu/umd/cs/findbugs/ba/CFGPrinter;.print(Ljava/io/PrintStream;)V#0#edgeIter,C:/PHDONExia/icseCode/findbugs-3.0.0/src/edu/umd/cs/findbugs/ba/CFGPrinter.java;,VariableName,,,,,,,,ClassName:Iterator<Edge>;,ClassName:CFGPrinter;,VariableName:bb;FieldName:isForwards;MethodName:outgoingEdgeIterator;FieldName:cfg;MethodName:incomingEdgeIterator;VariableName:edge;,,,,MethodName:print;,,edgeIter,iter,iterator
