id,files,typeOfIdentifier,subclass,subsubclass,parents,ancestor,methods,fields,comment,type,enclosingClass,assignment,methodInvocated,parameterArgument,parameter,enclosingMethod,argument,name,abbr,expansion
Lorg/apache/maven/repository/internal/MavenRepositorySystemUtilsTest;.testGetRepositorySystem()V#repoSys,C:/PHDONE/runtime-EclipseApplication/maven-3.5.2/maven-resolver-provider/src/test/java/org/apache/maven/repository/internal/MavenRepositorySystemUtilsTest.java;,VariableName,,,,,,,,ClassName:RepositorySystem;,ClassName:MavenRepositorySystemUtilsTest;,VariableName:locator;ClassName:RepositorySystem;MethodName:getService;,,,,MethodName:testGetRepositorySystem;,,repoSys,repo,repository
Lorg/apache/maven/project/PomConstructionTest;.BASE_POM_DIR)Ljava/lang/String;,C:/PHDONE/runtime-EclipseApplication/maven-3.5.2/maven-core/src/test/java/org/apache/maven/project/PomConstructionTest.java;,FieldName,,,,,,,,ClassName:String;,ClassName:PomConstructionTest;,FieldName:BASE_DIR;FieldName:testDirectory;,,,,,,BASE_POM_DIR,dir,directory
Lorg/apache/maven/artifact/DefaultArtifactTest;.testNonResolvedVersionRangeConsistentlyYieldsNullVersions()V|Ljava/lang/Exception;#vr,C:/PHDONE/runtime-EclipseApplication/maven-3.5.2/maven-compat/src/test/java/org/apache/maven/artifact/DefaultArtifactTest.java;,VariableName,,,,,,,,ClassName:VersionRange;,ClassName:DefaultArtifactTest;,FieldName:artifact;ClassName:VersionRange;MethodName:createFromVersionSpec;,,,,MethodName:testNonResolvedVersionRangeConsistentlyYieldsNullVersions;,,vr,vr,version range
Lorg/apache/maven/repository/metadata/MetadataGraphVertex;.compareStrings(Ljava/lang/String;Ljava/lang/String;)I#s2#0#1,C:/PHDONE/runtime-EclipseApplication/maven-3.5.2/maven-compat/src/main/java/org/apache/maven/repository/metadata/MetadataGraphVertex.java;,ParameterName,,,,,,,;,ClassName:String;,,,,,,MethodName:compareStrings;,FieldName:groupId;FieldName:artifactId;VariableName:vmd;FieldName:version;,s2,s,string
Lorg/apache/maven/repository/metadata/ArtifactMetadata;.(Lorg/apache/maven/artifact/Artifact;)V#af#0#0,C:/PHDONE/runtime-EclipseApplication/maven-3.5.2/maven-compat/src/main/java/org/apache/maven/repository/metadata/ArtifactMetadata.java;,ParameterName,,,,,,,;,ClassName:Artifact;,,,,,,MethodName:ArtifactMetadata;,,af,af,artifact
Lorg/apache/maven/cli/CLIManager;.displayHelp(Ljava/io/PrintStream;)V#pw,C:/PHDONE/runtime-EclipseApplication/maven-3.5.2/maven-embedder/src/main/java/org/apache/maven/cli/CLIManager.java;,VariableName,,,,,,,,ClassName:PrintWriter;,ClassName:CLIManager;,ClassName:PrintWriter;ParameterName:stdout;,,,,MethodName:displayHelp;,,pw,pw,print writer
Lorg/apache/maven/lifecycle/internal/MojoDescriptorCreator;.getMojoDescriptor(Ljava/lang/String;Lorg/apache/maven/execution/MavenSession;Lorg/apache/maven/project/MavenProject;)Lorg/apache/maven/plugin/descriptor/MojoDescriptor;|Lorg/apache/maven/plugin/PluginNotFoundException;|Lorg/apache/maven/plugin/PluginResolutionException;|Lorg/apache/maven/plugin/PluginDescriptorParsingException;|Lorg/apache/maven/plugin/MojoNotFoundException;|Lorg/apache/maven/plugin/prefix/NoPluginFoundForPrefixException;|Lorg/apache/maven/plugin/InvalidPluginDescriptorException;|Lorg/apache/maven/plugin/version/PluginVersionResolutionException;#tok,C:/PHDONE/runtime-EclipseApplication/maven-3.5.2/maven-core/src/main/java/org/apache/maven/lifecycle/internal/MojoDescriptorCreator.java;,VariableName,,,,,,,;,ClassName:StringTokenizer;,ClassName:MojoDescriptorCreator;,VariableName:prefix;VariableName:goal;ClassName:StringTokenizer;VariableName:numTokens;ParameterName:task;,MethodName:setArtifactId;MethodName:setVersion;MethodName:setGroupId;,ParameterName:groupId;ParameterName:artifactId;ParameterName:version;,,MethodName:getMojoDescriptor;,,tok,tok,token
Lorg/apache/maven/repository/metadata/DefaultClasspathTransformation$ClasspathGraphVisitor;.cpc)Lorg/apache/maven/repository/metadata/ClasspathContainer;,C:/PHDONE/runtime-EclipseApplication/maven-3.5.2/maven-compat/src/main/java/org/apache/maven/repository/metadata/DefaultClasspathTransformation.java;,FieldName,,,,,,,,ClassName:ClasspathContainer;,ClassName:ClasspathGraphVisitor;,ParameterName:cpc;,,,,,,cpc,cpc,classpath container
Lorg/apache/maven/usability/plugin/Expression;.setApiMethods(Ljava/util/Properties;)V,C:/PHDONE/runtime-EclipseApplication/maven-3.5.2/maven-compat/target/generated-sources/modello/org/apache/maven/usability/plugin/Expression.java;,MethodName,,,,,,,Set the programmatic methods used to change the value of this expression param apiMethods;,ClassName:void;,ClassName:Expression;,,,,ParameterName:apiMethods;,,,setApiMethods,api,application programming interface
Lorg/apache/maven/toolchain/java/JavaToolchainImpl;,C:/PHDONE/runtime-EclipseApplication/maven-3.5.2/maven-core/src/main/java/org/apache/maven/toolchain/java/JavaToolchainImpl.java;C:/PHDONE/runtime-EclipseApplication/maven-3.5.2/maven-core/src/main/java/org/apache/maven/toolchain/java/JavaToolchainFactory.java;C:/PHDONE/runtime-EclipseApplication/maven-3.5.2/maven-core/src/main/java/org/apache/maven/toolchain/java/DefaultJavaToolChain.java;,ClassName,ClassName:DefaultJavaToolChain;,,ClassName:DefaultToolchain;ClassName:JavaToolchain;,ClassName:ToolchainPrivate;ClassName:Toolchain;,MethodName:getJavaHome;MethodName:findTool;MethodName:JavaToolchainImpl;MethodName:findTool;MethodName:toString;MethodName:setJavaHome;,FieldName:javaHome;FieldName:KEY_JAVAHOME;,JDK toolchain implementation author Milos Kleint since renamed from DefaultJavaToolChain in Provides backwards compatibility with Maven and earlier Clients that do not require compatibility with Maven and earlier are encouraged to use link JavaToolchainImpl strong Note strong This is an internal component whose interface can change without prior notice deprecated clients that do not require compatibility with Maven and earlier should link to link JavaToolchainImpl instead;,,,,,,,,,JavaToolchainImpl,impl,implementation
Lorg/apache/maven/model/building/ModelSource2;.getRelatedSource(Ljava/lang/String;)Lorg/apache/maven/model/building/ModelSource2;#relPath#0#0,C:/PHDONE/runtime-EclipseApplication/maven-3.5.2/maven-model-builder/src/main/java/org/apache/maven/model/building/ModelSource2.java;,ParameterName,,,,,,,Returns model source identified by a path relative to this model source POM Implementation strong MUST strong be able to accept code relPath code parameter values that ul li use either or file path separator li li have parent directory references li li point either at file or directory in the latter case POM file name pom xml needs to be used by the requested model source li ul param relPath is the path of the requested model source relative to this model source POM return related model source or code null code if no such model source;,ClassName:String;,,,,,,MethodName:getRelatedSource;,VariableName:parentPath;,relPath,rel,related
Lorg/apache/maven/project/inheritance/t01/ProjectInheritanceTest;.testProjectInheritance()V|Ljava/lang/Exception;#p1,C:/PHDONE/runtime-EclipseApplication/maven-3.5.2/maven-compat/src/test/java/org/apache/maven/project/inheritance/t01/ProjectInheritanceTest.java;,VariableName,,,,,,,,ClassName:MavenProject;,ClassName:ProjectInheritanceTest;,MethodName:getProject;MethodName:projectFile;,,,,MethodName:testProjectInheritance;,,p1,p,project
Lorg/apache/maven/cli/MavenCli;.loadCoreExtensions(Lorg/apache/maven/cli/CliRequest;Lorg/codehaus/plexus/classworlds/realm/ClassRealm;Ljava/util/Set<Ljava/lang/String;>;)Ljava/util/List<Lorg/apache/maven/extension/internal/CoreExtensionEntry;>;#0#0#cc,C:/PHDONE/runtime-EclipseApplication/maven-3.5.2/maven-embedder/src/main/java/org/apache/maven/cli/MavenCli.java;,VariableName,,,,,,,;,ClassName:ContainerConfiguration;,ClassName:MavenCli;,FieldName:classWorld;ParameterName:containerRealm;MethodName:setClassWorld;VariableName:container;MethodName:setAutoWiring;MethodName:setClassPathScanning;MethodName:setJSR250Lifecycle;ClassName:DefaultContainerConfiguration;ParameterName:cliRequest;ClassName:PlexusConstants;MethodName:setName;MethodName:setRealm;VariableName:SCANNING_INDEX;,,,,MethodName:loadCoreExtensions;,,cc,cc,container configuration
Lorg/apache/maven/repository/internal/DefaultVersionResolver;.merge(Ljava/util/Map<Ljava/lang/String;Lorg/apache/maven/repository/internal/DefaultVersionResolver$VersionInfo;>;Ljava/lang/String;Ljava/lang/String;)V#srcInfo,C:/PHDONE/runtime-EclipseApplication/maven-3.5.2/maven-resolver-provider/src/main/java/org/apache/maven/repository/internal/DefaultVersionResolver.java;,VariableName,,,,,,,,ClassName:VersionInfo;,ClassName:DefaultVersionResolver;,ParameterName:srcKey;ParameterName:infos;MethodName:get;,MethodName:isOutdated;,ParameterName:timestamp;,,MethodName:merge;,,srcInfo,info,information
Lorg/apache/maven/repository/metadata/ArtifactMetadata;.(Ljava/lang/String;)V#ind2,C:/PHDONE/runtime-EclipseApplication/maven-3.5.2/maven-compat/src/main/java/org/apache/maven/repository/metadata/ArtifactMetadata.java;,VariableName,,,,,,,,ClassName:int;,ClassName:ArtifactMetadata;,ParameterName:name;FieldName:artifactId;MethodName:lastIndexOf;FieldName:version;,,,,MethodName:ArtifactMetadata;,,ind2,ind,index
