id,files,typeOfIdentifier,subclass,subsubclass,parents,ancestor,methods,fields,comment,type,enclosingClass,assignment,methodInvocated,parameterArgument,parameter,enclosingMethod,argument,name,abbr,expansion
Lorg/pdfsam/PdfsamApp;.lambda$3(Ljavafx/stage/Stage;Lorg/pdfsam/ui/dialog/ConfirmationDialog;)V#d#0#0,C:/PHDONE/runtime-EclipseApplication/pdfsam-master/pdfsam-gui/src/main/java/org/pdfsam/PdfsamApp.java;,VariableName,,,,,,,,ClassName:ConfirmationDialog;,ClassName:PdfsamApp;,,,,,MethodName:initDialogsOwner;,,d,d,dialog
Lorg/pdfsam/ui/selection/multiple/SelectionChangedEventTest;.lambda$0(Lorg/pdfsam/ui/selection/multiple/SelectionChangedEvent;Lorg/pdfsam/ui/selection/multiple/move/MoveType;)V#m#0#0,C:/PHDONE/runtime-EclipseApplication/pdfsam-master/pdfsam-fx/src/test/java/org/pdfsam/ui/selection/multiple/SelectionChangedEventTest.java;,VariableName,,,,,,,,ClassName:MoveType;,ClassName:SelectionChangedEventTest;,,MethodName:canMove;,ParameterName:type;,,MethodName:clearCantMove;,,m,m,move
Lorg/pdfsam/task/BulkRotateTaskTest;.lambda$3(Lorg/sejda/sambox/pdmodel/PDDocument;)V#d#0#0,C:/PHDONE/runtime-EclipseApplication/pdfsam-master/pdfsam-service/src/test/java/org/pdfsam/task/BulkRotateTaskTest.java;,VariableName,,,,,,,,ClassName:PDDocument;,ClassName:BulkRotateTaskTest;,,,,,MethodName:testMultipleInputOneDoesntContainRange;,,d,d,directory
Lorg/pdfsam/ui/support/CircularObservableList;.addAll(ILjava/util/Collection<+TE;>;)Z#retVal,C:/PHDONE/runtime-EclipseApplication/pdfsam-master/pdfsam-fx/src/main/java/org/pdfsam/ui/support/CircularObservableList.java;,VariableName,,,,,,,,ClassName:boolean;,ClassName:CircularObservableList;,ParameterName:index;MethodName:addAll;ParameterName:c;VariableName:wrapped;,,,,MethodName:addAll;,,retVal,ret,return
Lorg/pdfsam/splitbybookmarks/BookmarksLevelComboBox;.lambda$1(Ljavafx/beans/Observable;)V#o#0#0,C:/PHDONE/runtime-EclipseApplication/pdfsam-master/pdfsam-split-by-bookmarks/src/main/java/org/pdfsam/splitbybookmarks/BookmarksLevelComboBox.java;,VariableName,,,,,,,,ClassName:Observable;,ClassName:BookmarksLevelComboBox;,,,,,MethodName:BookmarksLevelComboBox;,,o,o,observable
Lorg/pdfsam/ui/selection/multiple/SelectionTable;.lambda$30(Lorg/pdfsam/ui/selection/multiple/SelectionTableRowData;)V#d#0#0,C:/PHDONE/runtime-EclipseApplication/pdfsam-master/pdfsam-fx/src/main/java/org/pdfsam/ui/selection/multiple/SelectionTable.java;,VariableName,,,,,,,,ClassName:SelectionTableRowData;,ClassName:SelectionTable;,,,,,MethodName:onClear;,,d,d,data
Lorg/pdfsam/TestUtils;.testEqualsAndHashCodes<T:Ljava/lang/Object;>(TT;TT;TT;TT;)V#eq2#0#1,C:/PHDONE/runtime-EclipseApplication/pdfsam-master/pdfsam-core/src/test/java/org/pdfsam/TestUtils.java;,ParameterName,,,,,,,Test that the equals and hashCode implementations respect the general rules being reflexive transitive and symmetric param T param eq equal instance param eq equal instance param eq equal instance param diff not equal instance symmetric transitive;,ClassName:T;,,,,,,MethodName:testEqualsAndHashCodes;,,eq2,eq,equal
Lorg/pdfsam/context/UserContext;.isSavePwdInWorkspaceFile()Z,C:/PHDONE/runtime-EclipseApplication/pdfsam-master/pdfsam-gui/src/main/java/org/pdfsam/ui/dashboard/preference/PreferenceConfig.java;C:/PHDONE/runtime-EclipseApplication/pdfsam-master/pdfsam-core/src/main/java/org/pdfsam/context/UserContext.java;,MethodName,,,,,,,return true if documents password should be saved when saving a workspace;,ClassName:boolean;,ClassName:UserContext;,VariableName:savePwdInWorkspace;,,,,,,isSavePwdInWorkspaceFile,pwd,password
Lorg/pdfsam/ui/UIServiceConfig;,C:/PHDONE/runtime-EclipseApplication/pdfsam-master/pdfsam-service/src/main/java/org/pdfsam/Services.java;C:/PHDONE/runtime-EclipseApplication/pdfsam-master/pdfsam-service/src/main/java/org/pdfsam/ui/UIServiceConfig.java;,ClassName,,,,,MethodName:workspaces;MethodName:recentWorkspaces;MethodName:stage;,,author Andrea Vacondio;,,,,,,,,,UIServiceConfig,config,configuration
Lorg/pdfsam/ui/banner/AppContextMenu;,C:/PHDONE/runtime-EclipseApplication/pdfsam-master/pdfsam-gui/src/test/java/org/pdfsam/ui/banner/MenuButtonTest.java;C:/PHDONE/runtime-EclipseApplication/pdfsam-master/pdfsam-gui/src/main/java/org/pdfsam/ui/banner/AppContextMenu.java;C:/PHDONE/runtime-EclipseApplication/pdfsam-master/pdfsam-gui/src/main/java/org/pdfsam/ui/banner/MenuButton.java;C:/PHDONE/runtime-EclipseApplication/pdfsam-master/pdfsam-gui/src/test/java/org/pdfsam/ui/banner/MenuConfig.java;,ClassName,,,ClassName:ContextMenu;,,MethodName:AppContextMenu;,,Context menu showing app functionalities This is supposed to be activated by the menu button author Andrea Vacondio;,,,,,,,,,AppContextMenu,app,application
