id,files,typeOfIdentifier,subclass,subsubclass,parents,ancestor,methods,fields,comment,type,enclosingClass,assignment,methodInvocated,parameterArgument,parameter,enclosingMethod,argument,name,abbr,expansion
Lnet/sourceforge/pmd/ant/Formatter;.addConfiguredParam(LParameter;)V,C:/PHDONExia/icseCode/pmd-5.2.0/src/net/sourceforge/pmd/ant/Formatter.java;,MethodName,,,,,,,,ClassName:void;,ClassName:Formatter;,,,,ParameterName:parameter;,,,addConfiguredParam,param,parameter
Lnet/sourceforge/pmd/ant/PMDTask;.setAuxClasspathRef(LReference;)V,C:/PHDONExia/icseCode/pmd-5.2.0/src/net/sourceforge/pmd/ant/PMDTask.java;,MethodName,,,,,,,,ClassName:void;,ClassName:PMDTask;,,,,ParameterName:r;,,,setAuxClasspathRef,ref,reference
Lnet/sourceforge/pmd/ant/PMDTask;.setAuxClasspathRef(LReference;)V#r#0#0,C:/PHDONExia/icseCode/pmd-5.2.0/src/net/sourceforge/pmd/ant/PMDTask.java;,ParameterName,,,,,,,,ClassName:Reference;,,,,,,MethodName:setAuxClasspathRef;,,r,r,reference
Lnet/sourceforge/pmd/ant/RuleSetWrapper;.addText(Ljava/lang/String;)V#t#0#0,C:/PHDONExia/icseCode/pmd-5.2.0/src/net/sourceforge/pmd/ant/RuleSetWrapper.java;,ParameterName,,,,,,,,ClassName:String;,,FieldName:file;,,,,MethodName:addText;,,t,t,text
Lnet/sourceforge/pmd/benchmark/Benchmarker;.main([Ljava/lang/String;)V|Lnet/sourceforge/pmd/RuleSetNotFoundException;|Ljava/io/IOException;|Lnet/sourceforge/pmd/PMDException;#srcDir,C:/PHDONExia/icseCode/pmd-5.2.0/src/net/sourceforge/pmd/benchmark/Benchmarker.java;,VariableName,,,,,,,,ClassName:String;,ClassName:Benchmarker;,MethodName:findOptionalStringValue;VariableName:dataSources;ParameterName:args;,MethodName:collectFiles;,ParameterName:fileLocations;,,MethodName:main;,,srcDir,src,source
Lnet/sourceforge/pmd/cli/PMDCommandLineInterface;.PROG_NAME)Ljava/lang/String;,C:/PHDONExia/icseCode/pmd-5.2.0/src/net/sourceforge/pmd/cli/PMDCommandLineInterface.java;,FieldName,,,,,,,,ClassName:String;,ClassName:PMDCommandLineInterface;,,,,,,,PROG_NAME,prog,program
Lnet/sourceforge/pmd/cli/PMDParameters;.setUri(Ljava/lang/String;)V,C:/PHDONExia/icseCode/pmd-5.2.0/src/net/sourceforge/pmd/cli/PMDParameters.java;,MethodName,,,,,,,param uri the uri specifying the source directory;,ClassName:void;,ClassName:PMDParameters;,,,,ParameterName:uri;,,,setUri,uri,unicode resource identifier
Lnet/sourceforge/pmd/cli/PMDParameters;.setUri(Ljava/lang/String;)V#uri#0#0,C:/PHDONExia/icseCode/pmd-5.2.0/src/net/sourceforge/pmd/cli/PMDParameters.java;,ParameterName,,,,,,,param uri the uri specifying the source directory;,ClassName:String;,,FieldName:uri;,,,,MethodName:setUri;,,uri,uri,unicode resource identifier
Lnet/sourceforge/pmd/cli/PMDParameters;.transformParametersIntoConfiguration(Lnet/sourceforge/pmd/cli/PMDParameters;)Lnet/sourceforge/pmd/PMDConfiguration;#params#0#0,C:/PHDONExia/icseCode/pmd-5.2.0/src/net/sourceforge/pmd/cli/PMDParameters.java;,ParameterName,,,,,,,,ClassName:PMDParameters;,,VariableName:languageVersion;,MethodName:setSuppressMarker;MethodName:setSourceEncoding;MethodName:findLanguageVersionByTerseName;MethodName:setInputUri;MethodName:setReportFile;MethodName:setShowSuppressedViolations;MethodName:setInputPaths;MethodName:setReportShortNames;MethodName:setStressTest;MethodName:setThreads;MethodName:setDebug;MethodName:setMinimumPriority;MethodName:prependClasspath;MethodName:setRuleSets;MethodName:setReportFormat;MethodName:setBenchmark;MethodName:setReportProperties;,ParameterName:suppressMarker;ParameterName:debug;ParameterName:benchmark;ParameterName:classpath;ParameterName:reportFile;ParameterName:ruleSets;ParameterName:reportShortNames;ParameterName:terseName;ParameterName:sourceEncoding;ParameterName:stressTest;ParameterName:inputPaths;ParameterName:inputUri;ParameterName:reportFormat;ParameterName:reportProperties;ParameterName:showSuppressedViolations;ParameterName:minimumPriority;ParameterName:threads;,,MethodName:transformParametersIntoConfiguration;,VariableName:params;,params,params,parameters
Lnet/sourceforge/pmd/cpd/AbstractTokenizer;.ignorableStmt)Ljava/util/List<Ljava/lang/String;>;,C:/PHDONExia/icseCode/pmd-5.2.0/src/net/sourceforge/pmd/cpd/AbstractTokenizer.java;,FieldName,,,,,,,FIXME Maybe an array of char would be better for performance List String should be set by sub classes;,ClassName:List<String>;,ClassName:AbstractTokenizer;,,,,,,,ignorableStmt,stmt,statement
Lnet/sourceforge/pmd/cpd/AbstractTokenizer;.getCommentToken(Ljava/lang/StringBuilder;I)I#loc#0#1,C:/PHDONExia/icseCode/pmd-5.2.0/src/net/sourceforge/pmd/cpd/AbstractTokenizer.java;,ParameterName,,,,,,,,ClassName:int;,,,,,,MethodName:getCommentToken;,ParameterName:loc;,loc,loc,location
Lnet/sourceforge/pmd/cpd/CPD;.add(Lnet/sourceforge/pmd/util/database/DBURI;)V|Ljava/io/IOException;#0#1#sqlException,C:/PHDONExia/icseCode/pmd-5.2.0/src/net/sourceforge/pmd/cpd/CPD.java;,VariableName,,,,,,,,ClassName:Exception;,ClassName:CPD;,,,,,MethodName:add;,,sqlException,sql,structured query language
Recovered#typeBindingLTokenMgrError;0,C:/PHDONExia/icseCode/pmd-5.2.0/src/net/sourceforge/pmd/cpd/CPD.java;,ClassName,,,,,,,,,,,,,,,,TokenMgrError,mgr,mgr
Lnet/sourceforge/pmd/cpd/CPD;.addAllInDirectory(Ljava/lang/String;)V|Ljava/io/IOException;#dir#0#0,C:/PHDONExia/icseCode/pmd-5.2.0/src/net/sourceforge/pmd/cpd/CPD.java;,ParameterName,,,,,,,,ClassName:String;,,,MethodName:addDirectory;,ParameterName:dir;,,MethodName:addAllInDirectory;,VariableName:file;VariableName:dirPath;,dir,dir,directory
Lnet/sourceforge/pmd/cpd/CPDCommandLineInterface;.progName)Ljava/lang/String;,C:/PHDONExia/icseCode/pmd-5.2.0/src/net/sourceforge/pmd/cpd/CPDCommandLineInterface.java;,FieldName,,,,,,,,ClassName:String;,ClassName:CPDCommandLineInterface;,,,,,,,progName,prog,program
Lnet/sourceforge/pmd/cpd/CPDTask;.createLanguage()Lnet/sourceforge/pmd/cpd/Language;#p,C:/PHDONExia/icseCode/pmd-5.2.0/src/net/sourceforge/pmd/cpd/CPDTask.java;,VariableName,,,,,,,,ClassName:Properties;,ClassName:CPDTask;,ClassName:Properties;,MethodName:createLanguage;,ParameterName:properties;,,MethodName:createLanguage;,,p,p,properties
Lnet/sourceforge/pmd/cpd/CPDTask;.CSV_FORMAT)Ljava/lang/String;,C:/PHDONExia/icseCode/pmd-5.2.0/src/net/sourceforge/pmd/cpd/CPDTask.java;,FieldName,,,,,,,,ClassName:String;,ClassName:CPDTask;,FieldName:FORMATS;,,,,,,CSV_FORMAT,csv,comma separated values
Lnet/sourceforge/pmd/cpd/CSVRenderer;.(C)V,C:/PHDONExia/icseCode/pmd-5.2.0/src/net/sourceforge/pmd/cpd/CSVRenderer.java;,MethodName,,,,,,,,,ClassName:CSVRenderer;,,,,ParameterName:separatorChar;,,,CSVRenderer,csv,comma separated values
Lnet/sourceforge/pmd/cpd/GUI;.createTimer()Ljavax/swing/Timer;#t,C:/PHDONExia/icseCode/pmd-5.2.0/src/net/sourceforge/pmd/cpd/GUI.java;,VariableName,,,,,,,,ClassName:Timer;,ClassName:GUI;,ParameterName:e;VariableName:elapsedSeconds;VariableName:seconds;FieldName:timeField;MethodName:currentTimeMillis;VariableName:minutes;VariableName:now;MethodName:actionPerformed;VariableName:elapsedMillis;MethodName:formatTime;ClassName:ActionListener;ClassName:ActionEvent;MethodName:setText;VariableName:start;MethodName:floor;ClassName:System;ClassName:Timer;ClassName:Math;,,,,MethodName:createTimer;,,t,t,timer
Lnet/sourceforge/pmd/cpd/GUI;.copyMatchListSelectionsToClipboard()V#ss,C:/PHDONExia/icseCode/pmd-5.2.0/src/net/sourceforge/pmd/cpd/GUI.java;,VariableName,,,,,,,,ClassName:StringSelection;,ClassName:GUI;,VariableName:sb;MethodName:toString;ClassName:StringSelection;,,,,MethodName:copyMatchListSelectionsToClipboard;,,ss,ss,string selection
Lnet/sourceforge/pmd/cpd/GUI$SaveListener;.actionPerformed(Ljava/awt/event/ActionEvent;)V#0#pw,C:/PHDONExia/icseCode/pmd-5.2.0/src/net/sourceforge/pmd/cpd/GUI.java;,VariableName,,,,,,,,ClassName:PrintWriter;,ClassName:GUI;ClassName:SaveListener;,VariableName:f;ClassName:PrintWriter;ClassName:FileOutputStream;,,,,MethodName:actionPerformed;,,pw,pw,print writer
Lnet/sourceforge/pmd/cpd/GUI;.setLabelFor(Lnet/sourceforge/pmd/cpd/Match;)Ljava/lang/String;#1#separatorPos,C:/PHDONExia/icseCode/pmd-5.2.0/src/net/sourceforge/pmd/cpd/GUI.java;,VariableName,,,,,,,,ClassName:int;,ClassName:GUI;,VariableName:label;ClassName:File;MethodName:lastIndexOf;VariableName:sourceId;VariableName:separatorChar;,,,,MethodName:setLabelFor;,,separatorPos,pos,position
Lnet/sourceforge/pmd/cpd/GUI$25207;.removeTableModelListener(Ljavax/swing/event/TableModelListener;)V#l#0#0,C:/PHDONExia/icseCode/pmd-5.2.0/src/net/sourceforge/pmd/cpd/GUI.java;,ParameterName,,,,,,,,ClassName:TableModelListener;,,VariableName:model;,,,,MethodName:removeTableModelListener;,,l,l,listener
Lnet/sourceforge/pmd/cpd/GUI;.()V,C:/PHDONExia/icseCode/pmd-5.2.0/src/net/sourceforge/pmd/cpd/GUI.java;,MethodName,,,,,,,,,ClassName:GUI;,,,,,,,GUI,gui,graphical user interface
Lnet/sourceforge/pmd/cpd/GUI$SaveListener;.actionPerformed(Ljava/awt/event/ActionEvent;)V#evt#0#0,C:/PHDONExia/icseCode/pmd-5.2.0/src/net/sourceforge/pmd/cpd/GUI.java;,ParameterName,,,,,,,,ClassName:ActionEvent;,,,,,,MethodName:actionPerformed;,,evt,evt,event
Lnet/sourceforge/pmd/cpd/GUI;.go()V#0#0#config,C:/PHDONExia/icseCode/pmd-5.2.0/src/net/sourceforge/pmd/cpd/GUI.java;,VariableName,,,,,,,,ClassName:CPDConfiguration;,ClassName:GUI;,ClassName:CPDConfiguration;VariableName:cpd;,MethodName:setSystemProperties;,ParameterName:configuration;,,MethodName:go;,,config,config,configuration
Lnet/sourceforge/pmd/cpd/GUI;.setListDataFrom(Ljava/util/Iterator;)V#colModel,C:/PHDONExia/icseCode/pmd-5.2.0/src/net/sourceforge/pmd/cpd/GUI.java;,VariableName,,,,,,,,ClassName:TableColumnModel;,ClassName:GUI;,VariableName:column;FieldName:resultsTable;MethodName:getColumnModel;,,,,MethodName:setListDataFrom;,,colModel,col,column
Lnet/sourceforge/pmd/cpd/TokenEntry;.getTokenSrcID()Ljava/lang/String;,C:/PHDONExia/icseCode/pmd-5.2.0/src/net/sourceforge/pmd/cpd/MatchAlgorithm.java;C:/PHDONExia/icseCode/pmd-5.2.0/src/net/sourceforge/pmd/cpd/TokenEntry.java;C:/PHDONExia/icseCode/pmd-5.2.0/src/net/sourceforge/pmd/cpd/CSVRenderer.java;C:/PHDONExia/icseCode/pmd-5.2.0/src/net/sourceforge/pmd/cpd/SimpleRenderer.java;C:/PHDONExia/icseCode/pmd-5.2.0/src/net/sourceforge/pmd/cpd/XMLRenderer.java;C:/PHDONExia/icseCode/pmd-5.2.0/src/net/sourceforge/pmd/cpd/VSRenderer.java;C:/PHDONExia/icseCode/pmd-5.2.0/src/net/sourceforge/pmd/cpd/GUI.java;,MethodName,,,,,,,,ClassName:String;,ClassName:TokenEntry;,VariableName:sourceCode;,,,,,,getTokenSrcID,src,source
Lnet/sourceforge/pmd/cpd/TokenEntry;.EOF)Lnet/sourceforge/pmd/cpd/TokenEntry;,C:/PHDONExia/icseCode/pmd-5.2.0/src/net/sourceforge/pmd/cpd/MatchAlgorithm.java;C:/PHDONExia/icseCode/pmd-5.2.0/src/net/sourceforge/pmd/cpd/TokenEntry.java;C:/PHDONExia/icseCode/pmd-5.2.0/src/net/sourceforge/pmd/cpd/Tokens.java;C:/PHDONExia/icseCode/pmd-5.2.0/src/net/sourceforge/pmd/cpd/MatchCollector.java;,FieldName,,,,,,,,ClassName:TokenEntry;,ClassName:TokenEntry;,ClassName:TokenEntry;,,,,,,EOF,eof,end of file
Lnet/sourceforge/pmd/cpd/TokenEntry;.(Ljava/lang/String;Ljava/lang/String;I)V#tokenSrcID#0#1,C:/PHDONExia/icseCode/pmd-5.2.0/src/net/sourceforge/pmd/cpd/TokenEntry.java;,ParameterName,,,,,,,,ClassName:String;,,FieldName:tokenSrcID;,,,,MethodName:TokenEntry;,,tokenSrcID,src,source
Lnet/sourceforge/pmd/cpd/TokenEntry;.getEOF()Lnet/sourceforge/pmd/cpd/TokenEntry;,C:/PHDONExia/icseCode/pmd-5.2.0/src/net/sourceforge/pmd/cpd/TokenEntry.java;C:/PHDONExia/icseCode/pmd-5.2.0/src/net/sourceforge/pmd/cpd/AbstractTokenizer.java;C:/PHDONExia/icseCode/pmd-5.2.0/src/net/sourceforge/pmd/cpd/AnyTokenizer.java;,MethodName,,,,,,,,ClassName:TokenEntry;,ClassName:TokenEntry;,,MethodName:add;,ParameterName:tokenEntry;,,,,getEOF,eof,end of file
Ljava/lang/Integer;.intValue()I,C:/PHDONExia/icseCode/pmd-5.2.0/src/net/sourceforge/pmd/cpd/TokenEntry.java;C:/PHDONExia/icseCode/pmd-5.2.0/src/net/sourceforge/pmd/renderers/SummaryHTMLRenderer.java;,MethodName,,,,,,,,ClassName:int;,,FieldName:identifier;,,,,,,intValue,int,integer
Lnet/sourceforge/pmd/cpd/Tokens;.getLineCount(Lnet/sourceforge/pmd/cpd/TokenEntry;Lnet/sourceforge/pmd/cpd/Match;)I#endTok,C:/PHDONExia/icseCode/pmd-5.2.0/src/net/sourceforge/pmd/cpd/Tokens.java;,VariableName,,,,,,,,ClassName:TokenEntry;,ClassName:Tokens;,ParameterName:mark;ParameterName:match;MethodName:getIndex;MethodName:get;MethodName:getTokenCount;,,,,MethodName:getLineCount;,,endTok,tok,token
Lnet/sourceforge/pmd/cpd/XMLRenderer;.xmlDocToString(Lorg/w3c/dom/Document;)Ljava/lang/String;#0#0#tf,C:/PHDONExia/icseCode/pmd-5.2.0/src/net/sourceforge/pmd/cpd/XMLRenderer.java;,VariableName,,,,,,,,ClassName:TransformerFactory;,ClassName:XMLRenderer;,MethodName:newInstance;ClassName:TransformerFactory;VariableName:transformer;,,,,MethodName:xmlDocToString;,,tf,tf,transformer factory
Lnet/sourceforge/pmd/dcd/asm/PrintVisitor;.printlnIndent(Ljava/lang/String;)V#s#0#0,C:/PHDONExia/icseCode/pmd-5.2.0/src/net/sourceforge/pmd/dcd/asm/PrintVisitor.java;,ParameterName,,,,,,,,ClassName:String;,,,MethodName:println;,ParameterName:s;,,MethodName:printlnIndent;,ParameterName:s;ParameterName:s;ParameterName:s;,s,s,string
Lnet/sourceforge/pmd/dcd/asm/TypeSignatureVisitor;.init()V,C:/PHDONExia/icseCode/pmd-5.2.0/src/net/sourceforge/pmd/dcd/asm/TypeSignatureVisitor.java;,MethodName,,,,,,,,ClassName:void;,ClassName:TypeSignatureVisitor;,,,,,,,init,init,initialize
Lnet/sourceforge/pmd/dcd/graph/ClassNodeComparator;.compare(Ljava/lang/Object;Ljava/lang/Object;)I#obj1#0#0,C:/PHDONExia/icseCode/pmd-5.2.0/src/net/sourceforge/pmd/dcd/graph/ClassNodeComparator.java;,ParameterName,,,,,,,,ClassName:Object;,,,,,,MethodName:compare;,,obj1,obj,object
Lnet/sourceforge/pmd/dcd/graph/UsageGraphBuilder$MyMethodVisitor;.visitVarInsn(II)V#var#0#1,C:/PHDONExia/icseCode/pmd-5.2.0/src/net/sourceforge/pmd/dcd/graph/UsageGraphBuilder.java;,ParameterName,,,,,,,,ClassName:int;,,,MethodName:printlnIndent;,ParameterName:s;,,MethodName:visitVarInsn;,,var,var,variable
Lnet/sourceforge/pmd/dcd/graph/UsageGraphBuilder$MyMethodVisitor;.visitVarInsn(II)V,C:/PHDONExia/icseCode/pmd-5.2.0/src/net/sourceforge/pmd/dcd/graph/UsageGraphBuilder.java;,MethodName,,,,,,,,ClassName:void;,ClassName:MyMethodVisitor;,,,,ParameterName:var;ParameterName:opcode;,,,visitVarInsn,var,variable
