id,files,typeOfIdentifier,subclass,subsubclass,parents,ancestor,methods,fields,comment,type,enclosingClass,assignment,methodInvocated,parameterArgument,parameter,enclosingMethod,argument,name,abbr,expansion
Lnet/sf/portecle/crypto/X509Ext;.getLogotypeStringValue([B)Ljava/lang/String;|Ljava/io/IOException;#0#0#0#ltInfo,C:/PHDONE/runtime-EclipseApplication/portecle-master/src/main/net/sf/portecle/crypto/X509Ext.java;,VariableName,,,,,,,Unknown;,ClassName:DERTaggedObject;,ClassName:X509Ext;,MethodName:getObject;ClassName:DERTaggedObject;VariableName:derTag;VariableName:ltData;,MethodName:stringify;,ParameterName:obj;,,MethodName:getLogotypeStringValue;,,ltInfo,info,information
Lnet/sf/portecle/FileChooserFactory$PortecleFileView;.getIcon(Ljava/io/File;)Ljavax/swing/Icon;#f#0#0,C:/PHDONE/runtime-EclipseApplication/portecle-master/src/main/net/sf/portecle/FileChooserFactory.java;,ParameterName,,,,,,,,ClassName:File;,,VariableName:fn;,,,,MethodName:getIcon;,,f,f,file
Lnet/sf/portecle/crypto/X509Ext;.getMicrosoftCertificateTemplateV2StringValue([B)Ljava/lang/String;|Ljava/io/IOException;,C:/PHDONE/runtime-EclipseApplication/portecle-master/src/main/net/sf/portecle/crypto/X509Ext.java;,MethodName,,,,,,,Get Microsoft certificate template name V extension value as a string pre CertificateTemplate SEQUENCE templateID OBJECT IDENTIFIER templateMajorVersion TemplateVersion templateMinorVersion TemplateVersion OPTIONAL TemplateVersion INTEGER pre see a href https groups google com groups selm OXFILYELDHA TK MSFTNGP phx gbl https groups google com groups selm OXFILYELDHA TK MSFTNGP phx gbl a param bValue The octet string value return Extension value as a string throws IOException If an I O problem occurs;,ClassName:String;,ClassName:X509Ext;,,,,ParameterName:bValue;,,,getMicrosoftCertificateTemplateV2StringValue,v,value
Lnet/sf/portecle/gui/JMenuRecentFiles;.getRecentFiles()[Ljava/io/File;#arrList,C:/PHDONE/runtime-EclipseApplication/portecle-master/src/main/net/sf/portecle/gui/JMenuRecentFiles.java;,VariableName,,,,,,,,ClassName:ArrayList<File>;,ClassName:JMenuRecentFiles;,ClassName:ArrayList<File>;,,,,MethodName:getRecentFiles;,,arrList,arr,array
Lnet/sf/portecle/crypto/X509Ext;,C:/PHDONE/runtime-EclipseApplication/portecle-master/src/main/net/sf/portecle/ExtensionsTableModel.java;C:/PHDONE/runtime-EclipseApplication/portecle-master/src/main/net/sf/portecle/crypto/X509Ext.java;C:/PHDONE/runtime-EclipseApplication/portecle-master/src/main/net/sf/portecle/DViewExtensions.java;,ClassName,,,,,MethodName:getCrlDistributionPointsStringValue;MethodName:getInvalidityDateStringValue;MethodName:getLink;MethodName:getMicrosoftPreviousCACertificateHashStringValue;MethodName:getGeneralNamesString;MethodName:getHoldInstructionCodeStringValue;MethodName:getAuthorityKeyIdentifierStringValue;MethodName:getGeneralNameString;MethodName:getNetscapeExtensionURLValue;MethodName:convertToHexString;MethodName:getDeltaCrlIndicatorStringValue;MethodName:getInhibitAnyPolicyStringValue;MethodName:getStringValue;MethodName:formatGeneralizedTime;MethodName:getSubjectKeyIdentifierStringValue;MethodName:getCertificateIssuerStringValue;MethodName:stringify;MethodName:getCrlNumberStringValue;MethodName:getNetscapeCertificateTypeStringValue;MethodName:getHexClearDump;MethodName:getOid;MethodName:getValue;MethodName:getUnknownOidStringValue;MethodName:getEntrustVersionExtensionStringValue;MethodName:getRes;MethodName:getName;MethodName:getMicrosoftCAVersionStringValue;MethodName:getSmimeCapabilitiesStringValue;MethodName:getKeyUsageStringValue;MethodName:getPrivateKeyUsagePeriod;MethodName:getInformationAccessStringValue;MethodName:getLogotypeStringValue;MethodName:getPolicyMappingsStringValue;MethodName:getMicrosoftCrlNextPublish;MethodName:getReasonCodeStringValue;MethodName:getPolicyConstraintsStringValue;MethodName:getCertificatePoliciesStringValue;MethodName:getASN1ObjectString;MethodName:getNovellSecurityAttributesStringValue;MethodName:getBasicConstraintsStringValue;MethodName:getAlternativeName;MethodName:escapeHtml;MethodName:isCriticalExtension;MethodName:getCommonNameStringValue;MethodName:getExtendedKeyUsageStringValue;MethodName:getNovellQualityAttr;MethodName:getMicrosoftCertificateTemplateV2StringValue;MethodName:X509Ext;,FieldName:LOG;FieldName:m_sName;FieldName:m_bCritical;FieldName:m_Oid;FieldName:KEY_USAGES;FieldName:NETSCAPE_CERT_TYPES;FieldName:m_bValue;,Don t care about criticality Logger Holds the information of an X extension and provides the ability to get the extension s name and value as a string;,,,,,,,,,X509Ext,ext,extension
Lnet/sf/portecle/crypto/X509Ext;.getCertificatePoliciesStringValue([B)Ljava/lang/String;|Ljava/io/IOException;#0#0#pQuals,C:/PHDONE/runtime-EclipseApplication/portecle-master/src/main/net/sf/portecle/crypto/X509Ext.java;,VariableName,,,,,,,,ClassName:ASN1Sequence;,ClassName:X509Ext;,VariableName:pqi;VariableName:plen;VariableName:pi;MethodName:getPolicyQualifiers;,,,,MethodName:getCertificatePoliciesStringValue;,,pQuals,p,policy
Lnet/sf/portecle/DKeyStoreReport;.copyPressed(Z)V#bXml#0#0,C:/PHDONE/runtime-EclipseApplication/portecle-master/src/main/net/sf/portecle/DKeyStoreReport.java;,ParameterName,,,,,,,Copy the keystore report to the clipboard param bXml Copy as XML;,ClassName:boolean;,,,,,,MethodName:copyPressed;,,bXml,xml,extensible markup language
Lnet/sf/portecle/crypto/X509CertUtil;.establishTrust(Ljava/util/List<Ljava/security/cert/X509Certificate;>;Ljava/security/cert/X509Certificate;)[Ljava/security/cert/X509Certificate;|Lnet/sf/portecle/crypto/CryptoException;#vCompCerts#0#0,C:/PHDONE/runtime-EclipseApplication/portecle-master/src/main/net/sf/portecle/crypto/X509CertUtil.java;,ParameterName,,,,,,,other comparison certificates Check whether or not a trust path exists between the supplied X certificate and and the supplied comparison certificates based on the trusted certificates contained therein i e that a chain of trust exists between the supplied certificate and a self signed trusted certificate in the comparison set return The trust chain or null if trust could not be established param cert The certificate param vCompCerts The comparison set of certificates throws CryptoException If there is a problem establishing trust;,ClassName:List<X509Certificate>;,,VariableName:tmpChain;,MethodName:establishTrust;,ParameterName:vCompCerts;,,MethodName:establishTrust;,VariableName:ksCerts;ParameterName:vCompCerts;,vCompCerts,v,version
Lnet/sf/portecle/gui/LastDir;.m_fLastDir)Ljava/io/File;,C:/PHDONE/runtime-EclipseApplication/portecle-master/src/main/net/sf/portecle/gui/LastDir.java;,FieldName,,,,,,,Last directory;,ClassName:File;,ClassName:LastDir;,ClassName:File;VariableName:currentDir;FieldName:m_fLastDir;MethodName:isDirectory;ParameterName:file;MethodName:getParentFile;,,,,,,m_fLastDir,dir,directory
Lnet/sf/portecle/FPortecle$KeyStoreTable$FileTransferHander;.importData(Ljavax/swing/JComponent;Ljava/awt/datatransfer/Transferable;)Z#comp#0#0,C:/PHDONE/runtime-EclipseApplication/portecle-master/src/main/net/sf/portecle/FPortecle.java;,ParameterName,,,,,,,,ClassName:JComponent;,,,,,,MethodName:importData;,,comp,comp,component
Ljavax/swing/event/HyperlinkEvent;.getURL()Ljava/net/URL;,C:/PHDONE/runtime-EclipseApplication/portecle-master/src/main/net/sf/portecle/gui/help/FHelp.java;C:/PHDONE/runtime-EclipseApplication/portecle-master/src/main/net/sf/portecle/DViewExtensions.java;,MethodName,,,,,,,,ClassName:URL;,,VariableName:url;,MethodName:browse;MethodName:visit;,ParameterName:newPage;ParameterName:uri;,,,,getURL,url,uniform resource locator
