id,files,typeOfIdentifier,subclass,subsubclass,parents,ancestor,methods,fields,comment,type,enclosingClass,assignment,methodInvocated,parameterArgument,parameter,enclosingMethod,argument,name,abbr,expansion
Lcom/example/retrofit/JsonQueryParameters$JsonStringConverterFactory;.(Lretrofit2/Converter$Factory;)V,C:/PHDONE/runtime-EclipseApplication/retrofit-master/samples/src/main/java/com/example/retrofit/JsonQueryParameters.java;,MethodName,,,,,,,,,ClassName:JsonStringConverterFactory;,,,,ParameterName:delegateFactory;,,,JsonStringConverterFactory,json,javascript object notation
Lcom/example/retrofit/AnnotatedConverters$AnnotatedConverterFactory$Builder;.add(Ljava/lang/Class<+Ljava/lang/annotation/Annotation;>;Lretrofit2/Converter$Factory;)Lcom/example/retrofit/AnnotatedConverters$AnnotatedConverterFactory$Builder;#cls#0#0,C:/PHDONE/runtime-EclipseApplication/retrofit-master/samples/src/main/java/com/example/retrofit/AnnotatedConverters.java;,ParameterName,,,,,,,,ClassName:Class<? extends Annotation>;,,,,,,MethodName:add;,,cls,cls,class
Lretrofit2/CallAdapterTest;.rawTypes()V|Ljava/lang/NoSuchMethodException;#typeVar,C:/PHDONE/runtime-EclipseApplication/retrofit-master/retrofit/src/test/java/retrofit2/CallAdapterTest.java;,VariableName,,,,,,,,ClassName:Type;,ClassName:CallAdapterTest;,MethodName:getDeclaredMethod;MethodName:getGenericReturnType;ClassName:A;,,,,MethodName:rawTypes;,,typeVar,var,variable
Lretrofit2/converter/moshi/MoshiResponseBodyConverter;.UTF8_BOM)Lokio/ByteString;,C:/PHDONE/runtime-EclipseApplication/retrofit-master/retrofit-converters/moshi/src/main/java/retrofit2/converter/moshi/MoshiResponseBodyConverter.java;,FieldName,,,,,,,,ClassName:ByteString;,ClassName:MoshiResponseBodyConverter;,MethodName:decodeHex;ClassName:ByteString;,,,,,,UTF8_BOM,utf,unicode transformation format
Lretrofit2/CallTest;.reportsExecutedAsync()V|Ljava/lang/InterruptedException;,C:/PHDONE/runtime-EclipseApplication/retrofit-master/retrofit/src/test/java/retrofit2/CallTest.java;,MethodName,,,,,,,,ClassName:void;,ClassName:CallTest;,,,,,,,reportsExecutedAsync,async,asynchrony
Lretrofit2/RequestFactory$Builder;.parseHttpMethodAndPath(Ljava/lang/String;Ljava/lang/String;Z)V#httpMethod#0#0,C:/PHDONE/runtime-EclipseApplication/retrofit-master/retrofit/src/main/java/retrofit2/RequestFactory.java;,ParameterName,,,,,,,,ClassName:String;,,FieldName:httpMethod;,,,,MethodName:parseHttpMethodAndPath;,MethodName:method;VariableName:http;,httpMethod,http,hyper text transfer protocol
Lretrofit2/adapter/rxjava/RxJavaCallAdapterFactoryTest;.responseTypes()V#oResponseWildcard,C:/PHDONE/runtime-EclipseApplication/retrofit-master/retrofit-adapters/rxjava/src/test/java/retrofit2/adapter/rxjava/RxJavaCallAdapterFactoryTest.java;,VariableName,,,,,,,,ClassName:Type;,ClassName:RxJavaCallAdapterFactoryTest;,ClassName:String;ClassName:Observable<Response<? extends String>>;ClassName:TypeToken<Observable<Response<? extends String>>>;ClassName:Response<? extends String>;MethodName:getType;,,,,MethodName:responseTypes;,,oResponseWildcard,o,observable
Lretrofit2/mock/NetworkBehavior;.calculateDelay(Ljava/util/concurrent/TimeUnit;)J#callDelayMs,C:/PHDONE/runtime-EclipseApplication/retrofit-master/retrofit-mock/src/main/java/retrofit2/mock/NetworkBehavior.java;,VariableName,,,,,,,,ClassName:long;,ClassName:NetworkBehavior;,VariableName:delayPercent;FieldName:delayMs;,,,,MethodName:calculateDelay;,,callDelayMs,ms,millisecond
Lretrofit2/adapter/rxjava/RxJavaCallAdapterFactoryTest;.nonRxJavaTypeReturnsNull()V,C:/PHDONE/runtime-EclipseApplication/retrofit-master/retrofit-adapters/rxjava/src/test/java/retrofit2/adapter/rxjava/RxJavaCallAdapterFactoryTest.java;,MethodName,,,,,,,,ClassName:void;,ClassName:RxJavaCallAdapterFactoryTest;,,,,,,,nonRxJavaTypeReturnsNull,rx,reactive extension
Lretrofit2/CallTest;.transportProblemAsync()V|Ljava/lang/InterruptedException;,C:/PHDONE/runtime-EclipseApplication/retrofit-master/retrofit/src/test/java/retrofit2/CallTest.java;,MethodName,,,,,,,,ClassName:void;,ClassName:CallTest;,,,,,,,transportProblemAsync,async,asynchrony
Lretrofit2/adapter/rxjava2/RxJava2CallAdapterFactoryTest;.responseTypes()V#sBodyWildcard,C:/PHDONE/runtime-EclipseApplication/retrofit-master/retrofit-adapters/rxjava2/src/test/java/retrofit2/adapter/rxjava2/RxJava2CallAdapterFactoryTest.java;,VariableName,,,,,,,,ClassName:Type;,ClassName:RxJava2CallAdapterFactoryTest;,ClassName:String;ClassName:TypeToken<Single<? extends String>>;MethodName:getType;ClassName:Single<? extends String>;,,,,MethodName:responseTypes;,,sBodyWildcard,s,single
Lretrofit2/adapter/rxjava/RxJavaCallAdapterFactoryTest;.responseTypes()V#sResultWildcard,C:/PHDONE/runtime-EclipseApplication/retrofit-master/retrofit-adapters/rxjava/src/test/java/retrofit2/adapter/rxjava/RxJavaCallAdapterFactoryTest.java;,VariableName,,,,,,,,ClassName:Type;,ClassName:RxJavaCallAdapterFactoryTest;,ClassName:Result<? extends String>;ClassName:String;ClassName:TypeToken<Single<Result<? extends String>>>;MethodName:getType;ClassName:Single<Result<? extends String>>;,,,,MethodName:responseTypes;,,sResultWildcard,s,single
Ljava/io/EOFException;,C:/PHDONE/runtime-EclipseApplication/retrofit-master/retrofit-converters/wire/src/test/java/retrofit2/converter/wire/WireConverterFactoryTest.java;,ClassName,,,,,,,,,,,,,,,,EOFException,eof,end of file
Lrx/schedulers/Schedulers;.io()Lrx/Scheduler;,C:/PHDONE/runtime-EclipseApplication/retrofit-master/samples/src/main/java/com/example/retrofit/RxJavaObserveOnMainThread.java;,MethodName,,,,,,,,ClassName:Scheduler;,,VariableName:retrofit;,MethodName:addCallAdapterFactory;MethodName:createWithScheduler;,ParameterName:scheduler;ParameterName:factory;,,,,io,io,input output
Lretrofit2/RequestFactoryTest;.malformedAnnotationRelativeUrlThrows()V,C:/PHDONE/runtime-EclipseApplication/retrofit-master/retrofit/src/test/java/retrofit2/RequestFactoryTest.java;,MethodName,,,,,,,,ClassName:void;,ClassName:RequestFactoryTest;,,,,,,,malformedAnnotationRelativeUrlThrows,url,uniform resource locator
Lcom/example/retrofit/JsonAndXmlConverters$QualifiedTypeConverterFactory;.(Lretrofit2/Converter$Factory;Lretrofit2/Converter$Factory;)V#jsonFactory#0#0,C:/PHDONE/runtime-EclipseApplication/retrofit-master/samples/src/main/java/com/example/retrofit/JsonAndXmlConverters.java;,ParameterName,,,,,,,,ClassName:Factory;,,FieldName:jsonFactory;,,,,MethodName:QualifiedTypeConverterFactory;,,jsonFactory,json,javascript object notation
Lretrofit2/RequestFactoryTest$18175$Example;.method(Ljava/lang/String;Ljava/lang/String;)Lretrofit2/Call<Lokhttp3/ResponseBody;>;#o2#0#1,C:/PHDONE/runtime-EclipseApplication/retrofit-master/retrofit/src/test/java/retrofit2/RequestFactoryTest.java;,ParameterName,,,,,,,;,ClassName:String;,,,,,,MethodName:method;,,o2,o,method
Lretrofit2/adapter/rxjava/RxJavaCallAdapterFactoryTest;.responseTypes()V#oBodyClass,C:/PHDONE/runtime-EclipseApplication/retrofit-master/retrofit-adapters/rxjava/src/test/java/retrofit2/adapter/rxjava/RxJavaCallAdapterFactoryTest.java;,VariableName,,,,,,,,ClassName:Type;,ClassName:RxJavaCallAdapterFactoryTest;,ClassName:String;MethodName:getType;ClassName:TypeToken<Observable<String>>;ClassName:Observable<String>;,,,,MethodName:responseTypes;,,oBodyClass,o,observable
Lretrofit2/Utils$WildcardTypeImpl;,C:/PHDONE/runtime-EclipseApplication/retrofit-master/retrofit/src/main/java/retrofit2/Utils.java;,ClassName,,,ClassName:WildcardType;,,MethodName:toString;MethodName:getLowerBounds;MethodName:equals;MethodName:hashCode;MethodName:WildcardTypeImpl;MethodName:getUpperBounds;,FieldName:lowerBound;FieldName:upperBound;,The WildcardType interface supports multiple upper bounds and multiple lower bounds We only support what the Java language needs at most one bound If a lower bound is set the upper bound must be Object class;,,,,,,,,,WildcardTypeImpl,impl,implementation
Lretrofit2/RequestFactory$Builder;.parseHttpMethodAndPath(Ljava/lang/String;Ljava/lang/String;Z)V#0#queryParamMatcher,C:/PHDONE/runtime-EclipseApplication/retrofit-master/retrofit/src/main/java/retrofit2/RequestFactory.java;,VariableName,,,,,,,,ClassName:Matcher;,ClassName:Builder;ClassName:RequestFactory;,VariableName:queryParams;MethodName:matcher;FieldName:PARAM_URL_REGEX;,,,,MethodName:parseHttpMethodAndPath;,,queryParamMatcher,param,parameter
Lretrofit2/converter/protobuf/PhoneProtos$Phone$Builder;.getNumber()Ljava/lang/String;#0#s,C:/PHDONE/runtime-EclipseApplication/retrofit-master/retrofit-converters/protobuf/src/test/java/retrofit2/converter/protobuf/PhoneProtos.java;,VariableName,,,,,,,,ClassName:String;,ClassName:Builder;ClassName:PhoneProtos;ClassName:Phone;,FieldName:number_;MethodName:toStringUtf8;VariableName:bs;,,,,MethodName:getNumber;,,s,s,string
Lretrofit2/RequestFactoryTest;.multipartPartMapRejectsNullValues()V#params,C:/PHDONE/runtime-EclipseApplication/retrofit-master/retrofit/src/test/java/retrofit2/RequestFactoryTest.java;,VariableName,,,,,,,,ClassName:Map<String_RequestBody>;,ClassName:RequestFactoryTest;,ClassName:LinkedHashMap<String_RequestBody>;,,,,MethodName:multipartPartMapRejectsNullValues;,,params,params,parameters
