id,files,typeOfIdentifier,subclass,subsubclass,parents,ancestor,methods,fields,comment,type,enclosingClass,assignment,methodInvocated,parameterArgument,parameter,enclosingMethod,argument,name,abbr,expansion
Lnet/sourceforge/subsonic/ajax/ChatService$Messages;.serialVersionUID)J,C:/PHDONExia/icseCode/subsonic-5.0/src/net/sourceforge/subsonic/ajax/ChatService.java;,FieldName,,,,,,,,ClassName:long;,ClassName:Messages;,,,,,,,serialVersionUID,uid,user identifier
Lnet/sourceforge/subsonic/util/StringUtil;.toHtml(Ljava/lang/String;)Ljava/lang/String;,C:/PHDONExia/icseCode/subsonic-5.0/src/net/sourceforge/subsonic/ajax/CoverArtService.java;C:/PHDONExia/icseCode/subsonic-5.0/src/net/sourceforge/subsonic/ajax/NowPlayingService.java;C:/PHDONExia/icseCode/subsonic-5.0/src/net/sourceforge/subsonic/util/StringUtil.java;C:/PHDONExia/icseCode/subsonic-5.0/src/net/sourceforge/subsonic/controller/SetMusicFileInfoController.java;C:/PHDONExia/icseCode/subsonic-5.0/src/net/sourceforge/subsonic/controller/UploadController.java;,MethodName,,,,,,,Returns the specified string converted to a format suitable for HTML All single quote double quote greater than less than and ampersand characters are replaces with their corresponding HTML Character Entity code param s the string to convert return the converted string;,ClassName:String;,ClassName:StringUtil;,VariableName:username;VariableName:artist;VariableName:title;VariableName:tooltip;,,,ParameterName:s;,,,toHtml,html,hypertext markup language
Lnet/sourceforge/subsonic/ajax/NowPlayingInfo;.lyricsUrl)Ljava/lang/String;,C:/PHDONExia/icseCode/subsonic-5.0/src/net/sourceforge/subsonic/ajax/NowPlayingInfo.java;,FieldName,,,,,,,,ClassName:String;,ClassName:NowPlayingInfo;,ParameterName:lyricsUrl;,,,,,,lyricsUrl,url,uniform resource locator
Lnet/sourceforge/subsonic/domain/TransferStatus;.getMillisSinceLastUpdate()J,C:/PHDONExia/icseCode/subsonic-5.0/src/net/sourceforge/subsonic/ajax/NowPlayingService.java;C:/PHDONExia/icseCode/subsonic-5.0/src/net/sourceforge/subsonic/controller/RESTController.java;C:/PHDONExia/icseCode/subsonic-5.0/src/net/sourceforge/subsonic/domain/TransferStatus.java;C:/PHDONExia/icseCode/subsonic-5.0/src/net/sourceforge/subsonic/controller/StatusController.java;,MethodName,,,,,,,Returns the number of milliseconds since the transfer status was last updated return Number of milliseconds or code code if never updated;,ClassName:long;,ClassName:TransferStatus;,VariableName:minutesAgo;VariableName:minutesAgo;VariableName:minutesAgo;,,,,,,getMillisSinceLastUpdate,millis,milliseconds
Lnet/sourceforge/subsonic/util/StringUtil;.utf8HexEncode(Ljava/lang/String;)Ljava/lang/String;,C:/PHDONExia/icseCode/subsonic-5.0/src/net/sourceforge/subsonic/ajax/NowPlayingService.java;C:/PHDONExia/icseCode/subsonic-5.0/src/net/sourceforge/subsonic/dao/UserDao.java;C:/PHDONExia/icseCode/subsonic-5.0/src/net/sourceforge/subsonic/util/StringUtil.java;C:/PHDONExia/icseCode/subsonic-5.0/src/net/sourceforge/subsonic/service/PlayerService.java;C:/PHDONExia/icseCode/subsonic-5.0/src/net/sourceforge/subsonic/service/SettingsService.java;C:/PHDONExia/icseCode/subsonic-5.0/src/net/sourceforge/subsonic/taglib/UrlTag.java;,MethodName,,,,,,,Encodes the given string by using the hexadecimal representation of its UTF bytes param s The string to encode return The encoded string;,ClassName:String;,ClassName:StringUtil;,ParameterName:ldapManagerPassword;VariableName:lyricsUrl;VariableName:cookieName;VariableName:cookieName;,,,ParameterName:s;,,,utf8HexEncode,utf,unicode transformation format
Lnet/sourceforge/subsonic/util/StringUtil;.utf8HexEncode(Ljava/lang/String;)Ljava/lang/String;,C:/PHDONExia/icseCode/subsonic-5.0/src/net/sourceforge/subsonic/ajax/NowPlayingService.java;C:/PHDONExia/icseCode/subsonic-5.0/src/net/sourceforge/subsonic/dao/UserDao.java;C:/PHDONExia/icseCode/subsonic-5.0/src/net/sourceforge/subsonic/util/StringUtil.java;C:/PHDONExia/icseCode/subsonic-5.0/src/net/sourceforge/subsonic/service/PlayerService.java;C:/PHDONExia/icseCode/subsonic-5.0/src/net/sourceforge/subsonic/service/SettingsService.java;C:/PHDONExia/icseCode/subsonic-5.0/src/net/sourceforge/subsonic/taglib/UrlTag.java;,MethodName,,,,,,,Encodes the given string by using the hexadecimal representation of its UTF bytes param s The string to encode return The encoded string;,ClassName:String;,ClassName:StringUtil;,ParameterName:ldapManagerPassword;VariableName:lyricsUrl;VariableName:cookieName;VariableName:cookieName;,,,ParameterName:s;,,,utf8HexEncode,hex,hexadecimal
Lnet/sourceforge/subsonic/ajax/PlayQueueService;.convert(LHttpServletRequest;Lnet/sourceforge/subsonic/domain/Player;ZI)Lnet/sourceforge/subsonic/ajax/PlayQueueInfo;|Ljava/lang/Exception;#0#0#remoteCoverArtUrl,C:/PHDONExia/icseCode/subsonic-5.0/src/net/sourceforge/subsonic/ajax/PlayQueueService.java;,VariableName,,,,,,,,ClassName:String;,ClassName:PlayQueueService;,MethodName:rewriteRemoteUrl;VariableName:coverArtUrl;VariableName:urlRedirectionEnabled;ClassName:StringUtil;VariableName:urlRedirectContextPath;VariableName:urlRedirectFrom;VariableName:localIp;VariableName:localPort;,,,,MethodName:convert;,,remoteCoverArtUrl,url,uniform resource locator
Lnet/sourceforge/subsonic/ajax/PlayQueueService;.convert(LHttpServletRequest;Lnet/sourceforge/subsonic/domain/Player;ZI)Lnet/sourceforge/subsonic/ajax/PlayQueueInfo;|Ljava/lang/Exception;#url,C:/PHDONExia/icseCode/subsonic-5.0/src/net/sourceforge/subsonic/ajax/PlayQueueService.java;,VariableName,,,,,,,,ClassName:String;,ClassName:PlayQueueService;,VariableName:coverArtUrl;VariableName:albumUrl;VariableName:streamUrl;ParameterName:request;,,,,MethodName:convert;,,url,url,uniform resource locator
Lnet/sourceforge/subsonic/command/NetworkSettingsCommand;.setUrlRedirectionEnabled(Z)V#urlRedirectionEnabled#0#0,C:/PHDONExia/icseCode/subsonic-5.0/src/net/sourceforge/subsonic/command/NetworkSettingsCommand.java;,ParameterName,,,,,,,,ClassName:boolean;,,FieldName:urlRedirectionEnabled;,,,,MethodName:setUrlRedirectionEnabled;,MethodName:isUrlRedirectionEnabled;FieldName:settingsService;,urlRedirectionEnabled,url,uniform resource locator
Lnet/sourceforge/subsonic/controller/AutoCoverDemo$AlbumComponent;.paintComponent(Ljava/awt/Graphics;)V#g#0#0,C:/PHDONExia/icseCode/subsonic-5.0/src/net/sourceforge/subsonic/controller/AutoCoverDemo.java;,ParameterName,,,,,,,,ClassName:Graphics;,,,,,,MethodName:paintComponent;,,g,g,graphics
